event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000169972.11;RI:chr1:1309453:1309603-1309680:1309851:+	4.0	33.0	3.0	62.0	0.2517528647952729	1.0
ENSG00000277726.4;RI:chr1:11022123:11022241-11023192:11024041:+	18.0	8.0	34.0	10.0	0.5731789265701633	1.0
ENSG00000277726.4;RI:chr1:11022123:11022177-11022352:11024041:+	18.0	7.0	34.0	11.0	0.7804203198915527	1.0
ENSG00000277726.4;RI:chr1:11022123:11023329-11024063:11024335:+	130.0	24.0	195.0	28.0	0.4484002606905913	1.0
ENSG00000277726.4;RI:chr1:11022123:11022241-11024301:11024335:+	130.0	3.0	195.0	11.0	0.2629021648275661	1.0
ENSG00000277726.4;RI:chr1:11022123:11023329-11024301:11024335:+	130.0	11.0	195.0	9.0	0.24136613591345013	1.0
ENSG00000116688.16;RI:chr1:12006537:12006693-12007052:12007249:+	8.0	23.0	6.0	82.0	0.008757098549624481	0.9999999999999994
ENSG00000053372.4;RI:chr1:19257453:19257521-19257832:19257984:+	8.0	113.0	19.0	258.0	1.0	1.0
ENSG00000270136.6;RI:chr1:19623473:19623583-19626386:19626622:+	1.0	27.0	8.0	50.0	0.2604846379714499	1.0
ENSG00000142676.14;RI:chr1:23694659:23694791-23695797:23695908:+	27.0	464.0	94.0	954.0	0.019224561024812445	1.0
ENSG00000011007.12;RI:chr1:23755842:23756023-23756273:23756385:+	0.0	26.0	2.0	78.0	1.0	1.0
ENSG00000011007.12;RI:chr1:23754099:23754255-23754362:23754460:+	0.0	26.0	11.0	69.0	0.061840979832250634	1.0
ENSG00000011009.10;RI:chr1:23794426:23794600-23794681:23795542:+	10.0	26.0	18.0	50.0	1.0	1.0
ENSG00000133226.16;RI:chr1:24647078:24647208-24648858:24649029:+	20.0	21.0	20.0	42.0	0.10295878857040391	1.0
ENSG00000133226.16;RI:chr1:24646666:24646789-24647078:24649029:+	8.0	20.0	5.0	20.0	0.5355411590382814	1.0
ENSG00000133226.16;RI:chr1:24646666:24646789-24648858:24649029:+	8.0	191.0	5.0	401.0	0.03578008186632449	1.0
ENSG00000133226.16;RI:chr1:24649970:24650086-24651408:24651612:+	12.0	211.0	13.0	402.0	0.19891493701418173	1.0
ENSG00000133226.16;RI:chr1:24649970:24650086-24651498:24651612:+	12.0	23.0	13.0	66.0	0.04874142617807309	1.0
ENSG00000183726.10;RI:chr1:25351625:25351693-25352881:25352974:+	4.0	108.0	3.0	150.0	0.4605925195803311	1.0
ENSG00000142684.8;RI:chr1:26170417:26170480-26170574:26170868:+	2.0	85.0	6.0	209.0	1.0	1.0
ENSG00000130695.15;RI:chr1:26271013:26271107-26272020:26272071:+	2.0	32.0	6.0	58.0	0.7100711115818439	1.0
ENSG00000198830.10;RI:chr1:26473482:26473527-26473702:26473732:+	30.0	225.0	96.0	488.0	0.09265794642341622	1.0
ENSG00000198830.10;RI:chr1:26473482:26473585-26473702:26473732:+	30.0	30.0	96.0	85.0	0.7658327993330938	1.0
ENSG00000198830.10;RI:chr1:26473482:26473732-26474084:26474135:+	47.0	30.0	69.0	96.0	0.005882301143703656	0.9999999999480779
ENSG00000198830.10;RI:chr1:26473482:26473527-26473702:26474135:+	47.0	45.0	69.0	97.0	0.15231438972792027	1.0
ENSG00000198830.10;RI:chr1:26473482:26473585-26474084:26474135:+	47.0	54.0	69.0	92.0	0.6098854779830563	1.0
ENSG00000198830.10;RI:chr1:26473482:26473527-26474084:26474135:+	47.0	13.0	69.0	17.0	0.8364492524543842	1.0
ENSG00000198830.10;RI:chr1:26473702:26473732-26474084:26474135:+	77.0	300.0	183.0	657.0	0.6500660458320275	1.0
ENSG00000198830.10;RI:chr1:26473702:26473817-26474084:26474135:+	77.0	29.0	183.0	91.0	0.3250036825475281	1.0
ENSG00000198830.10;RI:chr1:26474571:26474667-26475112:26475968:+	32.0	569.0	86.0	1272.0	0.4118536683357972	1.0
ENSG00000090273.13;RI:chr1:26942659:26942776-26942870:26943065:+	10.0	281.0	18.0	480.0	1.0	1.0
ENSG00000090273.13;RI:chr1:26941456:26941660-26941752:26941818:+	4.0	291.0	4.0	485.0	0.48313334181113693	1.0
ENSG00000090273.13;RI:chr1:26945389:26945473-26945567:26945686:+	5.0	309.0	1.0	525.0	0.029685914002998394	1.0
ENSG00000130770.17;RI:chr1:28236360:28236452-28237836:28238100:+	29.0	43.0	10.0	91.0	4.9732033670292185e-06	0.020047261466359267
ENSG00000130770.17;RI:chr1:28236360:28236452-28237760:28238100:+	29.0	13.0	10.0	27.0	0.0002770455213508459	0.6754247064888249
ENSG00000121775.17;RI:chr1:32100441:32100562-32102430:32102867:+	12.0	43.0	13.0	67.0	0.5000882379253724	1.0
ENSG00000084623.11;RI:chr1:32226170:32226320-32226402:32226530:+	6.0	461.0	12.0	902.0	1.0	1.0
ENSG00000116478.11;RI:chr1:32326938:32327077-32327535:32327677:+	5.0	144.0	7.0	272.0	0.7596581292598459	1.0
ENSG00000162521.18;RI:chr1:32672449:32672526-32672641:32672699:+	24.0	299.0	32.0	465.0	0.5746668211228632	1.0
ENSG00000162521.18;RI:chr1:32679639:32679698-32680525:32680649:+	249.0	13.0	377.0	13.0	0.3131820404175968	1.0
ENSG00000162521.18;RI:chr1:32679639:32679817-32680525:32680649:+	249.0	4.0	377.0	14.0	0.14981244838075286	1.0
ENSG00000054118.14;RI:chr1:36300885:36301084-36301552:36301696:+	736.0	1196.0	1238.0	1953.0	0.6356104007032473	1.0
ENSG00000134690.10;RI:chr1:37698904:37698977-37700435:37700521:+	3.0	69.0	5.0	152.0	0.7088159612806731	1.0
ENSG00000183520.11;RI:chr1:38019058:38019152-38019252:38019383:+	20.0	90.0	58.0	125.0	0.013762252569359994	1.0
ENSG00000127603.25;RI:chr1:39442146:39442320-39442411:39442567:+	2.0	31.0	0.0	68.0	0.10455445544554365	1.0
ENSG00000084072.16;RI:chr1:39741894:39741921-39743215:39743297:+	12.0	205.0	22.0	331.0	0.8559874979050495	1.0
ENSG00000084072.16;RI:chr1:39752909:39753052-39753286:39753707:+	2.0	202.0	3.0	332.0	1.0	1.0
ENSG00000131236.16;RI:chr1:40070429:40070512-40070835:40070979:+	11.0	198.0	25.0	314.0	0.3784477765001739	1.0
ENSG00000131236.16;RI:chr1:40059336:40059458-40060066:40060170:+	0.0	118.0	0.0	186.0	1.0	1.0
ENSG00000131236.16;RI:chr1:40069689:40069874-40070158:40070282:+	6.0	200.0	11.0	318.0	1.0	1.0
ENSG00000131236.16;RI:chr1:40070835:40070979-40071449:40072643:+	3.0	72.0	5.0	131.0	1.0	1.0
ENSG00000171793.14;RI:chr1:41008658:41008714-41008793:41008890:+	19.0	135.0	46.0	349.0	0.8831747602688881	1.0
ENSG00000171793.14;RI:chr1:40984820:40984991-40987371:40987472:+	1.0	139.0	2.0	360.0	1.0	1.0
ENSG00000171793.14;RI:chr1:40995916:40996068-40997393:40997526:+	2.0	137.0	10.0	350.0	0.5242824626468856	1.0
ENSG00000171793.14;RI:chr1:41009444:41009589-41010160:41010254:+	2.0	152.0	10.0	385.0	0.5242611360040492	1.0
ENSG00000065978.18;RI:chr1:42700780:42701046-42701980:42702349:+	8.0	2369.0	9.0	5159.0	0.19248223935465938	1.0
ENSG00000117399.13;RI:chr1:43360732:43360961-43361119:43361245:+	9.0	112.0	29.0	252.0	0.45832912402852444	1.0
ENSG00000117399.13;RI:chr1:43359489:43359638-43359724:43359821:+	15.0	87.0	47.0	198.0	0.3590247743891264	1.0
ENSG00000117399.13;RI:chr1:43359489:43359821-43359968:43360097:+	5.0	15.0	5.0	47.0	0.12774193156764407	1.0
ENSG00000117399.13;RI:chr1:43359166:43359396-43359489:43359638:+	23.0	71.0	37.0	168.0	0.21507887090972871	1.0
ENSG00000117399.13;RI:chr1:43359166:43359638-43359724:43359821:+	5.0	23.0	7.0	37.0	1.0	1.0
ENSG00000117408.10;RI:chr1:43957194:43957315-43957401:43957549:+	0.0	41.0	7.0	58.0	0.04148276189859461	1.0
ENSG00000132768.13;RI:chr1:43970595:43970708-43970965:43971189:+	7.0	36.0	5.0	81.0	0.10322373243599647	1.0
ENSG00000117410.13;RI:chr1:43975799:43975848-43976089:43976173:+	5.0	60.0	22.0	91.0	0.04932612857232489	1.0
ENSG00000117410.13;RI:chr1:43977025:43977216-43977980:43978291:+	25.0	100.0	38.0	181.0	0.5639445652751683	1.0
ENSG00000117410.13;RI:chr1:43976301:43976379-43976589:43976659:+	4.0	126.0	6.0	216.0	1.0	1.0
ENSG00000178028.13;RI:chr1:44213470:44213527-44213708:44213858:+	49.0	34.0	42.0	44.0	0.21767191082865728	1.0
ENSG00000178028.13;RI:chr1:44214702:44214898-44218310:44218469:+	27.0	83.0	10.0	98.0	0.0035356308452800383	0.9999993743447935
ENSG00000178028.13;RI:chr1:44219405:44219477-44219805:44219878:+	7.0	104.0	4.0	110.0	0.37036870348925444	1.0
ENSG00000142937.11;RI:chr1:44776674:44776714-44777613:44777789:+	18.0	45.0	32.0	89.0	0.8615259588891536	1.0
ENSG00000142937.11;RI:chr1:44776674:44776774-44777613:44777789:+	18.0	225.0	32.0	451.0	0.7564032330640704	1.0
ENSG00000142937.11;RI:chr1:44776033:44776140-44776674:44777789:+	14.0	18.0	24.0	32.0	1.0	1.0
ENSG00000142937.11;RI:chr1:44776033:44776140-44777613:44777789:+	14.0	16.0	24.0	23.0	0.81621172147993	1.0
ENSG00000142937.11;RI:chr1:44777613:44777789-44777999:44778129:+	10.0	277.0	40.0	546.0	0.06153306342779769	1.0
ENSG00000142937.11;RI:chr1:44777613:44777737-44777999:44778129:+	10.0	25.0	40.0	77.0	0.682226366911487	1.0
ENSG00000142937.11;RI:chr1:44777999:44778129-44778575:44778735:+	7.0	141.0	17.0	301.0	1.0	1.0
ENSG00000126088.13;RI:chr1:45013135:45013215-45013291:45013354:+	38.0	211.0	59.0	352.0	0.8206648629476689	1.0
ENSG00000126088.13;RI:chr1:45014939:45015006-45015336:45015577:+	10.0	130.0	22.0	202.0	0.4493402718462464	1.0
ENSG00000126088.13;RI:chr1:45013593:45013791-45013908:45014070:+	5.0	202.0	3.0	358.0	0.14781676156803214	1.0
ENSG00000132773.11;RI:chr1:45342383:45342643-45342842:45343002:+	7.0	37.0	11.0	83.0	0.5887708626539936	1.0
ENSG00000117448.13;RI:chr1:45566868:45567020-45567960:45568177:+	32.0	6.0	47.0	6.0	0.5474048458566249	1.0
ENSG00000117448.13;RI:chr1:45566868:45567020-45567981:45568177:+	32.0	196.0	47.0	261.0	0.7134468200450181	1.0
ENSG00000117448.13;RI:chr1:45550843:45550876-45550965:45551155:+	15.0	81.0	10.0	99.0	0.20029004897986824	1.0
ENSG00000117448.13;RI:chr1:45567981:45568177-45568926:45568999:+	4.0	45.0	1.0	85.0	0.058056544327479705	1.0
ENSG00000132780.16;RI:chr1:45606481:45606591-45607320:45608337:+	1.0	70.0	15.0	150.0	0.04419455327679453	1.0
ENSG00000132780.16;RI:chr1:45617462:45617591-45618060:45618251:+	20.0	339.0	35.0	658.0	0.7705083183448703	1.0
ENSG00000132780.16;RI:chr1:45617462:45617591-45618060:45618893:+	27.0	311.0	46.0	374.0	0.17559827067444603	1.0
ENSG00000132780.16;RI:chr1:45611851:45613248-45614095:45614181:+	13.0	318.0	22.0	380.0	0.385949327898354	1.0
ENSG00000132780.16;RI:chr1:45614292:45614366-45615012:45615201:+	12.0	673.0	9.0	1108.0	0.07465205745818129	1.0
ENSG00000132780.16;RI:chr1:45616336:45616393-45616625:45616703:+	7.0	573.0	11.0	970.0	1.0	1.0
ENSG00000085999.11;RI:chr1:46273354:46273465-46273623:46273747:+	8.0	78.0	15.0	119.0	0.8219753413010851	1.0
