event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000157916.19;MX:chr1:2391958-2391826:2391958-2395783:2391958-2395607:2395648-2395783:+	55.0	15.0	62.0	28.0	0.20921887850826787	1.0
ENSG00000171735.18;MX:chr1:6785575-6785476:6785575-6825091:6785575-6806982:6807088-6825091:+	13.0	42.0	12.0	39.0	1.0	1.0
ENSG00000171735.18;MX:chr1:6785575-6785473:6785575-6825091:6785575-6806982:6807088-6825091:+	5.0	42.0	2.0	39.0	0.4418280311120505	1.0
ENSG00000171735.18;MX:chr1:6785575-6806982:6807088-6825091:6785575-6820180:6820250-6825091:+	42.0	28.0	39.0	23.0	0.8580075624320842	1.0
ENSG00000171735.18;MX:chr1:6785575-6785476:6785575-6825091:6785575-6820180:6820250-6825091:+	13.0	28.0	12.0	23.0	1.0	1.0
ENSG00000171735.18;MX:chr1:6785575-6785473:6785575-6825091:6785575-6820180:6820250-6825091:+	5.0	28.0	2.0	23.0	0.6869833359235125	1.0
ENSG00000171735.18;MX:chr1:6871840-6886239:6886346-6887653:6871840-6887653:6888055-6887653:+	14.0	10.0	6.0	15.0	0.07146598848855797	1.0
ENSG00000049245.12;MX:chr1:7771385-7771319:7771385-7777159:7771385-7773441:7773511-7777159:+	7.0	56.0	7.0	61.0	1.0	1.0
ENSG00000116288.12;MX:chr1:7970963-7977651:7977738-7984893:7970963-7984893:7985283-7984893:+	162.0	3.0	120.0	5.0	0.29697717770269694	1.0
ENSG00000175279.21;MX:chr1:10430568-10430432:10430568-10433841:10430568-10430875:10431401-10433841:+	20.0	97.0	8.0	40.0	1.0	1.0
ENSG00000083444.16;MX:chr1:11954893-11956916:11957014-11957841:11954893-11957089:11957193-11957841:+	68.0	10.0	44.0	12.0	0.23803077118982902	1.0
ENSG00000270136.6;MX:chr1:19597109-19597026:19597109-19622099:19597109-19617257:19617336-19622099:+	29.0	31.0	18.0	16.0	0.8302375779309181	1.0
ENSG00000270136.6;MX:chr1:19597109-19597026:19597109-19622099:19597109-19600786:19600971-19622099:+	29.0	4.0	18.0	3.0	1.0	1.0
ENSG00000070831.15;MX:chr1:22052742-22052719:22052742-22078428:22052742-22074093:22074219-22078428:+	117.0	4.0	143.0	6.0	1.0	1.0
