event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000116288.12;AF:chr1:7961672:7961735-7962762:7961917:7962081-7962762:+	26.0	12.0	28.0	30.0	0.060758379728949194	1.0
ENSG00000116288.12;AF:chr1:7961685:7961793-7962762:7961917:7962081-7962762:+	10.0	12.0	21.0	30.0	0.7993477092719485	1.0
ENSG00000175279.21;AF:chr1:10430432:10430568-10433841:10430720:10431401-10433841:+	19.0	14.0	16.0	5.0	0.24339900301136966	1.0
ENSG00000277726.4;AF:chr1:11012330:11012428-11013715:11012650:11012743-11013715:+	5.0	62.0	6.0	45.0	0.5278673165278306	1.0
ENSG00000142676.14;AF:chr1:23691800:23691829-23692608:23691885:23692060-23692608:+	21.0	74.0	38.0	143.0	0.8775735778274695	1.0
ENSG00000142676.14;AF:chr1:23691805:23691829-23692608:23691885:23692060-23692608:+	35.0	74.0	65.0	143.0	0.8991548897138859	1.0
ENSG00000142676.14;AF:chr1:23691805:23691829-23693806:23692580:23692759-23693806:+	15.0	5.0	21.0	3.0	0.43612227786930036	1.0
ENSG00000133226.16;AF:chr1:24643264:24643347-24645983:24643554:24643732-24645983:+	20.0	5.0	21.0	6.0	1.0	1.0
ENSG00000133226.16;AF:chr1:24643264:24643347-24645983:24643563:24643732-24645983:+	20.0	0.0	21.0	2.0	0.4905869324473986	1.0
ENSG00000133226.16;AF:chr1:24643272:24643347-24645983:24643554:24643732-24645983:+	50.0	5.0	70.0	6.0	1.0	1.0
ENSG00000133226.16;AF:chr1:24643272:24643347-24645983:24643563:24643732-24645983:+	50.0	0.0	70.0	2.0	0.5122612112179904	1.0
ENSG00000133226.16;AF:chr1:24643292:24643347-24645983:24643554:24643732-24645983:+	90.0	5.0	122.0	6.0	1.0	1.0
ENSG00000133226.16;AF:chr1:24643292:24643347-24645983:24643563:24643732-24645983:+	90.0	0.0	122.0	2.0	0.5103330261947353	1.0
ENSG00000117640.17;AF:chr1:25819943:25820029-25823018:25820225:25820659-25823018:+	16.0	7.0	22.0	4.0	0.3062815753979272	1.0
ENSG00000117640.17;AF:chr1:25819943:25820029-25823018:25820864:25821003-25823018:+	16.0	7.0	22.0	5.0	0.5077198130431873	1.0
ENSG00000117640.17;AF:chr1:25819954:25820029-25823018:25820225:25820659-25823018:+	57.0	7.0	59.0	4.0	0.5301771679218352	1.0
ENSG00000117640.17;AF:chr1:25819954:25820029-25823018:25820864:25821003-25823018:+	57.0	7.0	59.0	5.0	0.7630807940802453	1.0
ENSG00000117682.16;AF:chr1:26432322:26432376-26432890:26432384:26432518-26432890:+	2.0	18.0	5.0	49.0	1.0	1.0
ENSG00000117682.16;AF:chr1:26432324:26432376-26432890:26432384:26432518-26432890:+	43.0	18.0	119.0	49.0	1.0	1.0
ENSG00000198830.10;AF:chr1:26472505:26472627-26473702:26473198:26473527-26473702:+	32.0	38.0	97.0	81.0	0.2587159425233928	1.0
ENSG00000060642.10;AF:chr1:26787078:26787806-26790758:26787949:26788268-26790758:+	4.0	16.0	13.0	29.0	0.5438821384502887	1.0
ENSG00000180098.9;AF:chr1:28552989:28553137-28553639:28553223:28553307-28553639:+	44.0	18.0	51.0	27.0	0.5852088447051573	1.0
ENSG00000180098.9;AF:chr1:28553084:28553137-28553639:28553223:28553307-28553639:+	7.0	18.0	26.0	27.0	0.09141041710290082	1.0
ENSG00000198492.15;AF:chr1:28736952:28737147-28738258:28737749:28737797-28738258:+	14.0	18.0	25.0	24.0	0.6498601255121265	1.0
ENSG00000198492.15;AF:chr1:28736955:28737682-28738258:28737749:28737797-28738258:+	3.0	18.0	1.0	24.0	0.3179520176486792	1.0
ENSG00000198492.15;AF:chr1:28737049:28737147-28738258:28737749:28737797-28738258:+	2.0	18.0	4.0	24.0	1.0	1.0
ENSG00000084623.11;AF:chr1:32221712:32222032-32222537:32222406:32222444-32222537:+	29.0	39.0	43.0	91.0	0.16249078803521133	1.0
ENSG00000116497.17;AF:chr1:32817576:32817689-32825312:32817747:32817846-32825312:+	33.0	7.0	60.0	24.0	0.2670680614983947	1.0
ENSG00000084072.16;AF:chr1:39738878:39738923-39740164:39739010:39739293-39740164:+	35.0	10.0	33.0	12.0	0.8066822260915765	1.0
ENSG00000084072.16;AF:chr1:39738881:39738931-39740164:39739010:39739293-39740164:+	168.0	10.0	160.0	12.0	0.6632617410422397	1.0
ENSG00000066136.20;AF:chr1:40691703:40691867-40738835:40709322:40709616-40738835:+	68.0	5.0	106.0	7.0	1.0	1.0
ENSG00000127125.8;AF:chr1:42456148:42456499-42457246:42456531:42456628-42457246:+	8.0	36.0	13.0	58.0	1.0	1.0
ENSG00000127125.8;AF:chr1:42456148:42456499-42457246:42456531:42457073-42457246:+	8.0	49.0	13.0	99.0	0.6314022176936569	1.0
ENSG00000127125.8;AF:chr1:42456148:42456499-42457246:42456558:42457073-42457246:+	8.0	14.0	13.0	19.0	0.7841535122450902	1.0
ENSG00000127125.8;AF:chr1:42456303:42456499-42457246:42456531:42456628-42457246:+	3.0	36.0	4.0	58.0	1.0	1.0
ENSG00000127125.8;AF:chr1:42456303:42456499-42457246:42456531:42457073-42457246:+	3.0	49.0	4.0	99.0	0.6877194994744577	1.0
ENSG00000066135.12;AF:chr1:43650157:43650252-43653136:43650505:43650674-43653136:+	37.0	3.0	46.0	8.0	0.34361108904955084	1.0
ENSG00000142937.11;AF:chr1:44775573:44775600-44776674:44775999:44776140-44776674:+	25.0	3.0	42.0	2.0	0.3705297999992018	1.0
ENSG00000162607.12;AF:chr1:62436352:62436562-62439798:62437030:62437400-62439798:+	2.0	27.0	2.0	49.0	0.6181508365052656	1.0
ENSG00000162433.14;AF:chr1:65147602:65147665-65190709:65148152:65148552-65190709:+	38.0	63.0	64.0	77.0	0.23787825902362444	1.0
ENSG00000213625.8;AF:chr1:65420662:65420740-65425302:65421242:65421459-65425302:+	15.0	13.0	20.0	17.0	1.0	1.0
ENSG00000162616.8;AF:chr1:77979290:77979619-78013050:78004939:78005321-78013050:+	16.0	57.0	19.0	63.0	1.0	1.0
