event	42MGBA_42MGBAres.adj.pval	T98G_42MGBA.adj.pval	T98G_42MGBAres.adj.pval
ENSG00000132780.16;SE:chr1:45617591-45618060:45618251-45618060:+	1.0	1.0	0.01603551701126671
ENSG00000131051.22;SE:chr20:35707201-35707939:35707992-35709223:-	0.0	1.0	1.681543793097262e-12
ENSG00000131051.22;SE:chr20:35709274-35713018:35713663-35713018:-	0.0	1.0	6.053157974861278e-11
ENSG00000151725.11;SE:chr4:184697803-184700819:184700881-184702088:-	0.999999933302416	0.04320179933518775	1.0
ENSG00000181163.13;SE:chr5:171388006-171387859:171388006-171390050:+	0.9854221041480694	0.014735775705665644	1.0
ENSG00000168214.20;SE:chr4:26430522-26430691:26431076-26430691:+	0.9999999999999974	0.01554895461858441	1.0
ENSG00000265241.6;SE:chr1:145925927-145925722:145925927-145926040:-	0.9997365141243364	0.0075872023903312815	1.0
ENSG00000116030.16;SE:chr2:202207321-202206486:202207321-202210734:-	1.0	0.006562396103070967	0.9999998430566248
ENSG00000005893.15;SE:chrX:120448025-120448969:120449128-120455356:-	1.0	0.00656600385868078	0.9999999789086976
ENSG00000116030.16;SE:chr2:202220106-202238439:202238557-202238439:-	1.0	0.0018444341693142352	0.9993180650554264
ENSG00000113140.10;SE:chr5:151663599-151662439:151663599-151664086:-	1.0	0.0006673018624792082	1.0
ENSG00000198431.15;SE:chr12:104339273-104348352:104350281-104348352:+	0.41035720872543335	0.028395223982762174	1.0
ENSG00000175061.17;SE:chr17:16439414-16439659:16439703-16440184:+	0.17584335306819532	0.0010523719749506721	1.0
ENSG00000162695.11;SE:chr1:100896342-100896114:100896342-100896569:+	0.003496746444693999	0.01445725640985085	1.0
ENSG00000177830.17;SE:chr11:908645-910774:910821-910774:-	0.014218920577682037	1.8495063747181467e-07	1.0
ENSG00000165948.10;SE:chr14:94096965-94097494:94097678-94100738:+	3.1468626858210946e-05	0.0009103729738121348	1.0
ENSG00000175061.17;SE:chr17:16439060-16439326:16439414-16439580:+	1.4794712238641594e-06	1.0719221399391188e-08	1.0
ENSG00000124588.19;SE:chr6:3012674-3015529:3015643-3016883:+	4.635703598765417e-09	1.162936654308666e-06	1.0
ENSG00000062716.12;SE:chr17:59838397-59838117:59838397-59839767:+	3.058591158122681e-10	0.0	0.9999998663116244
ENSG00000062716.12;SE:chr17:59838397-59839767:59840594-59839767:+	3.058591158122681e-10	0.0	0.9999998663116244
ENSG00000175061.17;SE:chr17:16441130-16441367:16441995-16441367:+	0.0	1.1765366458860171e-11	1.0
ENSG00000175061.17;SE:chr17:16439060-16439036:16439060-16439326:+	0.0	3.361755318564973e-12	1.0
ENSG00000165629.19;SE:chr10:7788263-7788178:7788263-7796120:+	0.0	0.0	1.0
ENSG00000165629.19;SE:chr10:7802854-7806973:7807010-7807658:+	0.0	0.0	1.0
ENSG00000175061.17;SE:chr17:16439414-16439580:16439703-16440184:+	0.0	0.0	1.0
ENSG00000165629.19;SE:chr10:7788263-7788176:7788263-7796120:+	0.0	0.0	1.0
ENSG00000149925.18;SE:chr16:30070029-30070116:30070379-30070116:+	0.0	1.2950003144274193e-05	1.0
ENSG00000119725.18;SE:chr14:73921105-73922065:73922206-73923394:+	9.188469651810747e-09	9.95491642497015e-06	1.0
ENSG00000162695.11;SE:chr1:100921841-100961827:100961918-100965768:+	0.00014278683122670444	0.0038834650931336414	1.0
ENSG00000162642.13;SE:chr1:85258722-85258934:85259061-85259357:-	0.003100611021695898	0.0031693698071733056	1.0
ENSG00000181163.13;SE:chr5:171400210-171400838:171400925-171405301:+	0.03244705372393286	0.010138689823624758	1.0
ENSG00000171858.17;SE:chr20:62387136-62387103:62387136-62387320:+	0.013182026129715195	0.025712594728607985	1.0
ENSG00000139428.11;SE:chr12:109561104-109561242:109561329-109561419:-	0.06007526124473761	3.070583103448321e-06	1.0
ENSG00000092841.18;SE:chr12:56160320-56160625:56160670-56161386:+	0.06334807979712588	0.03854105029041455	1.0
ENSG00000140319.10;SE:chr15:40036500-40036040:40036500-40036985:-	0.03408920421162698	0.04340483316130828	1.0
ENSG00000138385.15;SE:chr2:169808553-169808859:169808902-169810282:+	2.1063578299451716e-05	0.371259885397804	1.0
ENSG00000113719.15;SE:chr5:172834433-172834365:172834433-172888698:+	0.009880774790501423	0.3704834868407797	1.0
ENSG00000124226.10;SE:chr20:49949355-49952075:49952206-49952075:+	0.01813254016166788	0.26335640710816377	1.0
ENSG00000183291.16;SE:chr1:86880725-86887155:86887196-86903280:-	0.011419702689454024	0.16280164665671093	1.0
ENSG00000240225.10;SE:chr19:56368936-56369278:56369337-56373156:+	2.9080722561580785e-05	0.15850764076702886	1.0
ENSG00000114850.6;SE:chr3:156543269-156543003:156543269-156544307:-	0.0008909359889899271	0.19167227090734415	1.0
ENSG00000163584.17;SE:chr3:170868390-170870158:170870195-170870158:-	0.0001685317124465735	0.21921761488252534	1.0
ENSG00000160124.9;SE:chr3:122371800-122383173:122383235-122383173:-	0.011398847832671644	0.953484587482987	1.0
ENSG00000113460.12;SE:chr5:34922768-34923000:34923051-34923132:+	4.72170635923419e-10	0.9999999965013638	0.9845882194074064
ENSG00000113460.12;SE:chr5:34915897-34915730:34915897-34918363:+	7.315345929015392e-08	0.9999999999999754	0.9999999999771066
ENSG00000131051.22;SE:chr20:35739017-35740524:35740597-35740823:-	0.0002408312302015769	1.0	0.999806093419802
ENSG00000010244.18;SE:chr17:32369454-32369598:32370343-32369598:+	0.0004166815683041003	1.0	1.0
ENSG00000128534.7;SE:chr7:118188405-118191911:118192150-118191911:+	0.00026040557949558174	0.9999993403565872	1.0
ENSG00000145604.15;SE:chr5:36153042-36163644:36163756-36166518:+	0.0017627586830958328	0.9999999999140609	1.0
ENSG00000156976.16;SE:chr3:186787882-186788309:186788420-186789124:+	0.0010392698852806914	1.0	1.0
ENSG00000104611.11;SE:chr8:19393541-19394549:19395807-19394549:+	0.0011649384426679619	0.9999364480969012	1.0
ENSG00000153130.17;SE:chr4:140379192-140379568:140379652-140380961:+	0.0011849436660996693	0.999995413340728	1.0
ENSG00000010244.18;SE:chr17:32365487-32366664:32366757-32367771:+	0.002757152183577416	1.0	0.9999999999913332
ENSG00000156976.16;SE:chr3:186787882-186788309:186788416-186789124:+	0.005306870017983467	1.0	1.0
ENSG00000222041.11;SE:chr2:87455645-87480222:87480423-87521206:+	0.004310942202431335	0.9999670769143499	1.0
ENSG00000010244.18;SE:chr17:32369454-32369598:32369966-32369598:+	0.004648338414339204	1.0	1.0
ENSG00000163359.15;SE:chr2:237325724-237333449:237333548-237334625:-	0.03488711934038668	1.0	1.0
ENSG00000173559.12;SE:chr2:191682017-191682491:191682595-191683728:+	0.0170935162804553	0.9999999289531925	1.0
ENSG00000166508.17;SE:chr7:100093133-100092782:100093133-100093291:-	0.020775898472158882	1.0	1.0
