event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000169972.11;RI:chr1:1309453:1309603-1309680:1309851:+	4.0	33.0	5.0	49.0	1.0	1.0
ENSG00000277726.4;RI:chr1:11022123:11022241-11023192:11024041:+	18.0	8.0	17.0	12.0	0.5752886531350935	1.0
ENSG00000277726.4;RI:chr1:11022123:11022177-11022352:11024041:+	18.0	7.0	17.0	4.0	0.513757616423525	1.0
ENSG00000277726.4;RI:chr1:11022123:11023329-11024063:11024335:+	130.0	24.0	130.0	20.0	0.626738722330056	1.0
ENSG00000277726.4;RI:chr1:11022123:11022241-11024301:11024335:+	130.0	3.0	130.0	3.0	1.0	1.0
ENSG00000277726.4;RI:chr1:11022123:11023329-11024301:11024335:+	130.0	11.0	130.0	7.0	0.466570918664297	1.0
ENSG00000116688.16;RI:chr1:12006537:12006693-12007052:12007249:+	8.0	23.0	8.0	71.0	0.06695525879718861	1.0
ENSG00000053372.4;RI:chr1:19257453:19257521-19257832:19257984:+	8.0	113.0	16.0	171.0	0.664779091134194	1.0
ENSG00000270136.6;RI:chr1:19623473:19623583-19626386:19626622:+	1.0	27.0	5.0	24.0	0.19364448857994093	1.0
ENSG00000142676.14;RI:chr1:23694659:23694791-23695797:23695908:+	27.0	464.0	42.0	785.0	0.7983242510497863	1.0
ENSG00000011007.12;RI:chr1:23755842:23756023-23756273:23756385:+	0.0	26.0	5.0	76.0	0.33226227508326783	1.0
ENSG00000011007.12;RI:chr1:23754099:23754255-23754362:23754460:+	0.0	26.0	9.0	72.0	0.10939581612796286	1.0
ENSG00000011009.10;RI:chr1:23794426:23794600-23794681:23795542:+	10.0	26.0	17.0	51.0	0.8159506001223416	1.0
ENSG00000133226.16;RI:chr1:24647078:24647208-24648858:24649029:+	20.0	21.0	28.0	43.0	0.42824973471566585	1.0
ENSG00000133226.16;RI:chr1:24646666:24646789-24647078:24649029:+	8.0	20.0	10.0	28.0	1.0	1.0
ENSG00000133226.16;RI:chr1:24646666:24646789-24648858:24649029:+	8.0	191.0	10.0	239.0	1.0	1.0
ENSG00000133226.16;RI:chr1:24649970:24650086-24651408:24651612:+	12.0	211.0	17.0	286.0	1.0	1.0
ENSG00000133226.16;RI:chr1:24649970:24650086-24651498:24651612:+	12.0	23.0	17.0	28.0	0.817065619952576	1.0
ENSG00000183726.10;RI:chr1:25351625:25351693-25352881:25352974:+	4.0	108.0	13.0	229.0	0.5973318824146158	1.0
ENSG00000142684.8;RI:chr1:26170417:26170480-26170574:26170868:+	2.0	85.0	5.0	204.0	1.0	1.0
ENSG00000130695.15;RI:chr1:26271013:26271107-26272020:26272071:+	2.0	32.0	8.0	46.0	0.30488510790780665	1.0
ENSG00000198830.10;RI:chr1:26473482:26473527-26473702:26473732:+	30.0	225.0	111.0	466.0	0.008960254655717776	0.9999999999999997
ENSG00000198830.10;RI:chr1:26473482:26473585-26473702:26473732:+	30.0	30.0	111.0	99.0	0.7698868892836932	1.0
ENSG00000198830.10;RI:chr1:26473482:26473732-26474084:26474135:+	47.0	30.0	88.0	111.0	0.015481383023668416	1.0
ENSG00000198830.10;RI:chr1:26473482:26473527-26473702:26474135:+	47.0	45.0	88.0	82.0	1.0	1.0
ENSG00000198830.10;RI:chr1:26473482:26473585-26474084:26474135:+	47.0	54.0	88.0	78.0	0.31554304319272114	1.0
ENSG00000198830.10;RI:chr1:26473482:26473527-26474084:26474135:+	47.0	13.0	88.0	20.0	0.6866298876857867	1.0
ENSG00000198830.10;RI:chr1:26473702:26473732-26474084:26474135:+	77.0	300.0	179.0	624.0	0.4959261464429837	1.0
ENSG00000198830.10;RI:chr1:26473702:26473817-26474084:26474135:+	77.0	29.0	179.0	88.0	0.3236392636085397	1.0
ENSG00000198830.10;RI:chr1:26474571:26474667-26475112:26475968:+	32.0	569.0	97.0	1372.0	0.3165910184195637	1.0
ENSG00000090273.13;RI:chr1:26942659:26942776-26942870:26943065:+	10.0	281.0	15.0	389.0	1.0	1.0
ENSG00000090273.13;RI:chr1:26941456:26941660-26941752:26941818:+	4.0	291.0	5.0	403.0	1.0	1.0
ENSG00000090273.13;RI:chr1:26945389:26945473-26945567:26945686:+	5.0	309.0	4.0	435.0	0.5017190749847799	1.0
ENSG00000130770.17;RI:chr1:28236360:28236452-28237836:28238100:+	29.0	43.0	50.0	80.0	0.8805154061945192	1.0
ENSG00000130770.17;RI:chr1:28236360:28236452-28237760:28238100:+	29.0	13.0	50.0	2.0	0.0004429011230102299	0.8336570891225143
ENSG00000121775.17;RI:chr1:32100441:32100562-32102430:32102867:+	12.0	43.0	21.0	54.0	0.5411991962820536	1.0
ENSG00000084623.11;RI:chr1:32226170:32226320-32226402:32226530:+	6.0	461.0	13.0	712.0	0.6375221023236964	1.0
ENSG00000116478.11;RI:chr1:32326938:32327077-32327535:32327677:+	5.0	144.0	10.0	170.0	0.4305233674397464	1.0
ENSG00000162521.18;RI:chr1:32672449:32672526-32672641:32672699:+	24.0	299.0	57.0	604.0	0.6214180839140724	1.0
ENSG00000162521.18;RI:chr1:32679639:32679698-32680525:32680649:+	249.0	13.0	553.0	3.0	6.164678611398794e-05	0.2217158255604763
ENSG00000162521.18;RI:chr1:32679639:32679817-32680525:32680649:+	249.0	4.0	553.0	7.0	0.7465558646635053	1.0
ENSG00000054118.14;RI:chr1:36300885:36301084-36301552:36301696:+	736.0	1196.0	1061.0	1657.0	0.5212090926633182	1.0
ENSG00000134690.10;RI:chr1:37698904:37698977-37700435:37700521:+	3.0	69.0	4.0	184.0	0.39994940587380623	1.0
ENSG00000183520.11;RI:chr1:38019058:38019152-38019252:38019383:+	20.0	90.0	77.0	190.0	0.03777546618554631	1.0
ENSG00000127603.25;RI:chr1:39442146:39442320-39442411:39442567:+	2.0	31.0	1.0	160.0	0.07550344532876	1.0
ENSG00000084072.16;RI:chr1:39741894:39741921-39743215:39743297:+	12.0	205.0	14.0	198.0	0.6892411010511831	1.0
ENSG00000084072.16;RI:chr1:39752909:39753052-39753286:39753707:+	2.0	202.0	3.0	221.0	1.0	1.0
ENSG00000131236.16;RI:chr1:40070429:40070512-40070835:40070979:+	11.0	198.0	22.0	410.0	1.0	1.0
ENSG00000131236.16;RI:chr1:40059336:40059458-40060066:40060170:+	0.0	118.0	4.0	248.0	0.31107197447991586	1.0
ENSG00000131236.16;RI:chr1:40069689:40069874-40070158:40070282:+	6.0	200.0	8.0	418.0	0.400744875284391	1.0
ENSG00000131236.16;RI:chr1:40070835:40070979-40071449:40072643:+	3.0	72.0	4.0	161.0	0.6806709737150977	1.0
ENSG00000171793.14;RI:chr1:41008658:41008714-41008793:41008890:+	19.0	135.0	25.0	159.0	0.7488144224451961	1.0
ENSG00000171793.14;RI:chr1:40984820:40984991-40987371:40987472:+	1.0	139.0	3.0	168.0	0.6300799770909313	1.0
ENSG00000171793.14;RI:chr1:40995916:40996068-40997393:40997526:+	2.0	137.0	3.0	165.0	1.0	1.0
ENSG00000171793.14;RI:chr1:41009444:41009589-41010160:41010254:+	2.0	152.0	3.0	181.0	1.0	1.0
ENSG00000065978.18;RI:chr1:42700780:42701046-42701980:42702349:+	8.0	2369.0	6.0	3396.0	0.27890208109349013	1.0
ENSG00000117399.13;RI:chr1:43360732:43360961-43361119:43361245:+	9.0	112.0	19.0	137.0	0.2307202921044919	1.0
ENSG00000117399.13;RI:chr1:43359489:43359638-43359724:43359821:+	15.0	87.0	38.0	90.0	0.007622133692471276	0.9999999999999418
ENSG00000117399.13;RI:chr1:43359489:43359821-43359968:43360097:+	5.0	15.0	9.0	38.0	0.7436430784678179	1.0
ENSG00000117399.13;RI:chr1:43359166:43359396-43359489:43359638:+	23.0	71.0	31.0	65.0	0.2620882081943904	1.0
ENSG00000117399.13;RI:chr1:43359166:43359638-43359724:43359821:+	5.0	23.0	0.0	31.0	0.019630927379550803	1.0
ENSG00000117408.10;RI:chr1:43957194:43957315-43957401:43957549:+	0.0	41.0	4.0	44.0	0.12116925360395092	1.0
ENSG00000132768.13;RI:chr1:43970595:43970708-43970965:43971189:+	7.0	36.0	6.0	23.0	0.7571414276786712	1.0
ENSG00000117410.13;RI:chr1:43975799:43975848-43976089:43976173:+	5.0	60.0	16.0	50.0	0.015805488915344227	1.0
ENSG00000117410.13;RI:chr1:43977025:43977216-43977980:43978291:+	25.0	100.0	21.0	107.0	0.5157935088702652	1.0
ENSG00000117410.13;RI:chr1:43976301:43976379-43976589:43976659:+	4.0	126.0	3.0	127.0	1.0	1.0
ENSG00000178028.13;RI:chr1:44213470:44213527-44213708:44213858:+	49.0	34.0	52.0	29.0	0.5240655626839832	1.0
ENSG00000178028.13;RI:chr1:44214702:44214898-44218310:44218469:+	27.0	83.0	19.0	82.0	0.3231040511944573	1.0
ENSG00000178028.13;RI:chr1:44219405:44219477-44219805:44219878:+	7.0	104.0	2.0	102.0	0.17254833810485998	1.0
ENSG00000142937.11;RI:chr1:44776674:44776714-44777613:44777789:+	18.0	45.0	9.0	65.0	0.018737173595015446	1.0
ENSG00000142937.11;RI:chr1:44776674:44776774-44777613:44777789:+	18.0	225.0	9.0	309.0	0.015939579466150072	1.0
ENSG00000142937.11;RI:chr1:44776033:44776140-44776674:44777789:+	14.0	18.0	25.0	9.0	0.02350711456638807	1.0
ENSG00000142937.11;RI:chr1:44776033:44776140-44777613:44777789:+	14.0	16.0	25.0	14.0	0.22051867854643276	1.0
ENSG00000142937.11;RI:chr1:44777613:44777789-44777999:44778129:+	10.0	277.0	15.0	386.0	1.0	1.0
ENSG00000142937.11;RI:chr1:44777613:44777737-44777999:44778129:+	10.0	25.0	15.0	41.0	1.0	1.0
ENSG00000142937.11;RI:chr1:44777999:44778129-44778575:44778735:+	7.0	141.0	8.0	208.0	0.7893365348705761	1.0
ENSG00000126088.13;RI:chr1:45013135:45013215-45013291:45013354:+	38.0	211.0	34.0	184.0	1.0	1.0
ENSG00000126088.13;RI:chr1:45014939:45015006-45015336:45015577:+	10.0	130.0	8.0	119.0	0.8122715329799535	1.0
ENSG00000126088.13;RI:chr1:45013593:45013791-45013908:45014070:+	5.0	202.0	8.0	181.0	0.4007078840959799	1.0
ENSG00000132773.11;RI:chr1:45342383:45342643-45342842:45343002:+	7.0	37.0	8.0	50.0	0.7845010888736463	1.0
ENSG00000117448.13;RI:chr1:45566868:45567020-45567960:45568177:+	32.0	6.0	28.0	8.0	0.5600820770329211	1.0
ENSG00000117448.13;RI:chr1:45566868:45567020-45567981:45568177:+	32.0	196.0	28.0	222.0	0.4073549287901769	1.0
ENSG00000117448.13;RI:chr1:45550843:45550876-45550965:45551155:+	15.0	81.0	12.0	103.0	0.3036162370140159	1.0
ENSG00000117448.13;RI:chr1:45567981:45568177-45568926:45568999:+	4.0	45.0	2.0	49.0	0.4316003222677111	1.0
ENSG00000132780.16;RI:chr1:45606481:45606591-45607320:45608337:+	1.0	70.0	3.0	33.0	0.10964692158485204	1.0
ENSG00000132780.16;RI:chr1:45617462:45617591-45618060:45618251:+	20.0	339.0	11.0	277.0	0.3564850011172478	1.0
ENSG00000132780.16;RI:chr1:45617462:45617591-45618060:45618893:+	27.0	311.0	12.0	192.0	0.39555525580660156	1.0
ENSG00000132780.16;RI:chr1:45611851:45613248-45614095:45614181:+	13.0	318.0	8.0	200.0	1.0	1.0
ENSG00000132780.16;RI:chr1:45614292:45614366-45615012:45615201:+	12.0	673.0	6.0	483.0	0.6313137616889581	1.0
ENSG00000132780.16;RI:chr1:45616336:45616393-45616625:45616703:+	7.0	573.0	1.0	434.0	0.1479016046960676	1.0
ENSG00000085999.11;RI:chr1:46273354:46273465-46273623:46273747:+	8.0	78.0	7.0	63.0	1.0	1.0
ENSG00000173660.11;RI:chr1:46309100:46309127-46309896:46310044:+	8.0	23.0	12.0	25.0	0.6019515210829705	1.0
ENSG00000162368.13;RI:chr1:47375196:47375293-47376703:47378837:+	30.0	37.0	47.0	60.0	1.0	1.0
ENSG00000117859.18;RI:chr1:51787352:51787488-51787714:51788393:+	1.0	22.0	9.0	20.0	0.02998005429096618	1.0
ENSG00000134748.12;RI:chr1:52414620:52414647-52414761:52414859:+	1.0	111.0	3.0	100.0	0.3516249890331463	1.0
ENSG00000116157.5;RI:chr1:52606683:52606945-52608261:52609048:+	1.0	28.0	9.0	83.0	0.4483143173266339	1.0
ENSG00000243725.6;RI:chr1:54731485:54731549-54731654:54731700:+	61.0	1.0	88.0	3.0	0.64717979209809	1.0
ENSG00000116754.13;RI:chr1:70228421:70228555-70231858:70231975:+	56.0	10.0	87.0	34.0	0.04920371551356432	1.0
ENSG00000116754.13;RI:chr1:70228421:70230618-70231094:70231975:+	56.0	2.0	87.0	4.0	1.0	1.0
ENSG00000116754.13;RI:chr1:70228421:70228555-70231094:70231975:+	56.0	4.0	87.0	3.0	0.4382069351822032	1.0
ENSG00000116754.13;RI:chr1:70228421:70231975-70232267:70232377:+	8.0	56.0	15.0	87.0	0.8187767046604292	1.0
ENSG00000116754.13;RI:chr1:70228421:70228555-70232267:70232377:+	8.0	141.0	15.0	144.0	0.19831622623911493	1.0
ENSG00000116754.13;RI:chr1:70231094:70231203-70231858:70231975:+	6.0	15.0	7.0	15.0	1.0	1.0
ENSG00000116754.13;RI:chr1:70250364:70250503-70250610:70251996:+	3.0	42.0	9.0	40.0	0.1241694467632169	1.0
ENSG00000116754.13;RI:chr1:70250364:70250503-70250607:70251996:+	3.0	53.0	9.0	83.0	0.5361631337840584	1.0
ENSG00000117054.13;RI:chr1:75761121:75761370-75762691:75763499:+	6.0	110.0	9.0	190.0	0.7896147993669882	1.0
