event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	T98G_42MGBA.adj.pval
ENSG00000169972.11;SE:chr1:1308720-1308914:1308972-1309085:+	24.0	4.0	33.0	6.0	1.0	1.0
ENSG00000224051.6;SE:chr1:1325102-1326835:1327032-1327240:+	44.0	4.0	31.0	10.0	0.04560703802981948	1.0
ENSG00000157916.19;SE:chr1:2397220-2399414:2399514-2400856:+	63.0	7.0	106.0	10.0	0.7959017660212389	1.0
ENSG00000157916.19;SE:chr1:2391958-2391826:2391958-2395783:+	38.0	19.0	62.0	26.0	0.713906261595122	1.0
ENSG00000157916.19;SE:chr1:2402342-2403034:2403217-2403034:+	38.0	32.0	62.0	54.0	1.0	1.0
ENSG00000157916.19;SE:chr1:2391958-2395607:2395648-2395783:+	13.0	57.0	28.0	88.0	0.46596422238393903	1.0
ENSG00000157873.17;SE:chr1:2560714-2561672:2561815-2562864:+	15.0	6.0	18.0	4.0	0.4876067655421037	1.0
ENSG00000171735.18;SE:chr1:6785575-6806982:6807088-6825091:+	23.0	16.0	39.0	15.0	0.1909605960177112	1.0
ENSG00000171735.18;SE:chr1:6825210-6871756:6871840-6887653:+	31.0	6.0	30.0	5.0	1.0	1.0
ENSG00000171735.18;SE:chr1:6871840-6887653:6887899-6887653:+	11.0	23.0	12.0	24.0	1.0	1.0
ENSG00000171735.18;SE:chr1:6785575-6820180:6820250-6825091:+	25.0	16.0	23.0	15.0	1.0	1.0
ENSG00000171735.18;SE:chr1:6871840-6887653:6888055-6887653:+	19.0	15.0	15.0	21.0	0.33870571649653813	1.0
ENSG00000171735.18;SE:chr1:6871840-6886239:6886346-6887653:+	5.0	34.0	6.0	36.0	1.0	1.0
ENSG00000171735.18;SE:chr1:6785575-6806982:6807088-6820180:+	142.0	25.0	130.0	23.0	1.0	1.0
ENSG00000171735.18;SE:chr1:6807088-6820180:6820250-6825091:+	142.0	23.0	130.0	39.0	0.03517950779118679	1.0
ENSG00000171735.18;SE:chr1:6825210-6871756:6872020-6871756:+	141.0	59.0	127.0	75.0	0.11322959493019374	1.0
ENSG00000049245.12;SE:chr1:7771385-7771331:7771385-7773441:+	39.0	1.0	61.0	0.0	0.39603960396039256	1.0
ENSG00000049245.12;SE:chr1:7771385-7773441:7773511-7777159:+	39.0	7.0	61.0	7.0	0.5624518135616488	1.0
ENSG00000049245.12;SE:chr1:7777318-7778117:7778169-7779625:+	56.0	3.0	85.0	7.0	0.7408897542193671	1.0
ENSG00000116288.12;SE:chr1:7962875-7965323:7965425-7969344:+	93.0	6.0	132.0	17.0	0.18413226313709835	1.0
ENSG00000116288.12;SE:chr1:7965425-7969344:7969404-7970893:+	90.0	13.0	130.0	13.0	0.40545218924103266	1.0
ENSG00000116288.12;SE:chr1:7969404-7970893:7970963-7977651:+	84.0	7.0	122.0	6.0	0.3938813194423174	1.0
ENSG00000116288.12;SE:chr1:7970963-7977651:7977738-7984893:+	83.0	6.0	120.0	16.0	0.2564737735438114	1.0
ENSG00000116288.12;SE:chr1:7961735-7961669:7961735-7962762:+	4.0	48.0	9.0	53.0	0.3763918234583392	1.0
ENSG00000116288.12;SE:chr1:7961735-7961694:7961735-7962762:+	3.0	49.0	4.0	58.0	1.0	1.0
ENSG00000116288.12;SE:chr1:7961793-7961685:7961793-7962762:+	14.0	18.0	17.0	34.0	0.3608597048831534	1.0
ENSG00000116288.12;SE:chr1:7961793-7962762:7962875-7965323:+	30.0	7.0	43.0	8.0	0.7771044045942637	1.0
ENSG00000116288.12;SE:chr1:7977738-7984893:7985256-7984893:+	24.0	71.0	29.0	100.0	0.6367935960253286	1.0
ENSG00000116288.12;SE:chr1:7970963-7977651:7977738-7984863:+	14.0	6.0	15.0	10.0	0.5443776896762119	1.0
ENSG00000116288.12;SE:chr1:7961735-7961701:7961735-7962762:+	13.0	39.0	17.0	45.0	0.8328798704481957	1.0
ENSG00000142657.20;SE:chr1:10400572-10403070:10403136-10404160:+	550.0	10.0	182.0	11.0	0.008878023275294283	1.0
ENSG00000142657.20;SE:chr1:10408140-10411417:10411552-10413061:+	545.0	16.0	187.0	7.0	0.6289858549127504	1.0
ENSG00000142657.20;SE:chr1:10418925-10419416:10419539-10419629:+	570.0	15.0	200.0	5.0	1.0	1.0
ENSG00000142657.20;SE:chr1:10399125-10399063:10399125-10399628:+	461.0	31.0	168.0	12.0	0.8596306705642089	1.0
ENSG00000142657.20;SE:chr1:10419539-10419629:10420137-10419629:+	495.0	76.0	175.0	25.0	0.808865780914905	1.0
ENSG00000175279.21;SE:chr1:10430568-10430432:10430568-10433841:+	7.0	19.0	8.0	19.0	1.0	1.0
ENSG00000175279.21;SE:chr1:10440413-10442264:10442704-10442264:+	14.0	96.0	11.0	68.0	0.8304786691693015	1.0
ENSG00000175279.21;SE:chr1:10430568-10430875:10431401-10433841:+	60.0	26.0	40.0	27.0	0.23160396466255542	1.0
ENSG00000175279.21;SE:chr1:10433965-10434656:10434690-10440346:+	93.0	14.0	61.0	11.0	0.6679022647248489	1.0
ENSG00000175279.21;SE:chr1:10430568-10433841:10433965-10434656:+	19.0	2.0	19.0	4.0	0.6663248832846123	1.0
ENSG00000175279.21;SE:chr1:10431401-10430772:10431401-10433841:+	7.0	74.0	3.0	45.0	0.7432014600782317	1.0
ENSG00000142655.12;SE:chr1:10536297-10599237:10599366-10618331:+	25.0	4.0	18.0	4.0	0.7127931653697566	1.0
ENSG00000142655.12;SE:chr1:10495321-10517027:10517131-10536212:+	2.0	27.0	4.0	18.0	0.38289982042771137	1.0
ENSG00000277726.4;SE:chr1:11013965-11016843:11017007-11018732:+	188.0	6.0	182.0	5.0	1.0	1.0
ENSG00000277726.4;SE:chr1:11012743-11012658:11012743-11013715:+	130.0	70.0	130.0	57.0	0.3864316928120202	1.0
ENSG00000277726.4;SE:chr1:11013965-11016122:11016254-11016843:+	7.0	188.0	6.0	182.0	1.0	1.0
ENSG00000132879.13;SE:chr1:11654952-11655327:11655699-11655805:+	13.0	54.0	6.0	18.0	0.5683947745390634	1.0
ENSG00000177674.15;SE:chr1:11745837-11745929:11746223-11747439:+	11.0	52.0	4.0	42.0	0.2628309133765784	1.0
ENSG00000177674.15;SE:chr1:11736235-11745802:11745837-11747439:+	52.0	7.0	42.0	1.0	0.13390251699518063	1.0
ENSG00000177674.15;SE:chr1:11736235-11736168:11736235-11745802:+	24.0	45.0	15.0	33.0	0.842176231126276	1.0
ENSG00000177674.15;SE:chr1:11748610-11750076:11750768-11750076:+	24.0	24.0	15.0	7.0	0.198779645630277	1.0
ENSG00000011021.22;SE:chr1:11828219-11828457:11828624-11829195:+	13.0	7.0	17.0	18.0	0.2730561505354397	1.0
ENSG00000083444.16;SE:chr1:11934855-11934724:11934855-11947975:+	22.0	63.0	9.0	52.0	0.15030082084523175	1.0
ENSG00000083444.16;SE:chr1:11957943-11958515:11958647-11960645:+	92.0	13.0	61.0	6.0	0.6201368521042323	1.0
ENSG00000083444.16;SE:chr1:11963636-11964174:11964300-11964643:+	96.0	9.0	59.0	8.0	0.6013700577445098	1.0
ENSG00000083444.16;SE:chr1:11965593-11966250:11966316-11966986:+	99.0	12.0	71.0	6.0	0.6169054755438851	1.0
ENSG00000083444.16;SE:chr1:11966316-11966986:11967091-11970669:+	88.0	5.0	62.0	9.0	0.15652129926501462	1.0
ENSG00000083444.16;SE:chr1:11967091-11970669:11970816-11972871:+	105.0	11.0	71.0	9.0	0.8110358379442957	1.0
ENSG00000083444.16;SE:chr1:11972997-11974652:11975524-11974652:+	22.0	99.0	9.0	80.0	0.11812979104997876	1.0
ENSG00000083444.16;SE:chr1:11934855-11944521:11944662-11947975:+	20.0	85.0	6.0	61.0	0.0831926134620854	1.0
ENSG00000083444.16;SE:chr1:11967091-11966959:11967091-11970669:+	5.0	100.0	3.0	68.0	1.0	1.0
ENSG00000116688.16;SE:chr1:11998878-11998987:11999095-12001400:+	16.0	4.0	60.0	6.0	0.23200727558874634	1.0
ENSG00000116688.16;SE:chr1:12009726-12011495:12011560-12011495:+	6.0	28.0	16.0	68.0	1.0	1.0
ENSG00000116688.16;SE:chr1:12009726-12011495:12013125-12011495:+	2.0	32.0	3.0	81.0	0.625047182714837	1.0
ENSG00000116138.12;SE:chr1:15526958-15529087:15529272-15534236:+	0.0	120.0	2.0	61.0	0.11727616645646159	1.0
ENSG00000162458.12;SE:chr1:15765233-15767375:15767563-15768527:+	40.0	5.0	52.0	12.0	0.42189212359863404	1.0
ENSG00000162458.12;SE:chr1:15777287-15784547:15785087-15784547:+	4.0	43.0	1.0	69.0	0.15590895032939167	1.0
ENSG00000065526.10;SE:chr1:15938876-15939295:15940145-15939295:+	31.0	3.0	54.0	4.0	0.7065748296079688	1.0
ENSG00000065526.10;SE:chr1:15938876-15939295:15940266-15939295:+	3.0	31.0	4.0	54.0	0.7065748296079707	1.0
ENSG00000055070.16;SE:chr1:16393482-16395037:16395595-16395037:+	14.0	42.0	29.0	51.0	0.1923086787109289	1.0
ENSG00000055070.16;SE:chr1:16367308-16367261:16367308-16391374:+	4.0	38.0	15.0	36.0	0.021074772566514778	1.0
ENSG00000055070.16;SE:chr1:16393482-16395037:16396372-16395037:+	4.0	52.0	15.0	65.0	0.07750785025780578	1.0
ENSG00000055070.16;SE:chr1:16367308-16391374:16391424-16393227:+	38.0	2.0	36.0	4.0	0.6751602827552221	1.0
ENSG00000157191.19;SE:chr1:16449201-16451837:16452015-16455817:+	138.0	6.0	174.0	14.0	0.2505127180501502	1.0
ENSG00000157191.19;SE:chr1:16452015-16455817:16455893-16458841:+	143.0	12.0	183.0	14.0	0.8398795566035213	1.0
ENSG00000157191.19;SE:chr1:16440853-16443631:16443732-16447869:+	150.0	3.0	188.0	14.0	0.04219108770268188	1.0
ENSG00000157191.19;SE:chr1:16449201-16450124:16450241-16451837:+	5.0	150.0	9.0	188.0	0.5923853959571695	1.0
ENSG00000053372.4;SE:chr1:19251863-19254781:19254840-19255947:+	96.0	2.0	132.0	10.0	0.1296074518164734	1.0
ENSG00000270136.6;SE:chr1:19597109-19617257:19617336-19622099:+	11.0	15.0	16.0	18.0	0.796325006627504	1.0
ENSG00000270136.6;SE:chr1:19597109-19600786:19600971-19622099:+	8.0	15.0	3.0	18.0	0.16850412085806366	1.0
ENSG00000270136.6;SE:chr1:19623583-19626386:19626599-19626386:+	15.0	27.0	18.0	24.0	0.6553483397104433	1.0
ENSG00000173436.14;SE:chr1:19623583-19625391:19625632-19626386:+	4.0	19.0	3.0	30.0	0.4286098067674108	1.0
ENSG00000070831.15;SE:chr1:22052742-22074093:22074219-22078428:+	2.0	98.0	6.0	150.0	0.48792931446907534	1.0
ENSG00000070831.15;SE:chr1:22052742-22052719:22052742-22078428:+	91.0	7.0	143.0	7.0	0.4142670970001644	1.0
ENSG00000070831.15;SE:chr1:22086866-22091427:22092414-22091427:+	91.0	537.0	143.0	882.0	0.7715329303090748	1.0
ENSG00000070831.15;SE:chr1:22052868-22074093:22074219-22078428:+	269.0	265.0	424.0	451.0	0.5099299109508697	1.0
ENSG00000070831.15;SE:chr1:22086866-22091427:22091613-22091427:+	265.0	363.0	451.0	574.0	0.4746440309076817	1.0
ENSG00000070831.15;SE:chr1:22078583-22078705:22078881-22081721:+	1.0	634.0	1.0	1031.0	1.0	1.0
ENSG00000142676.14;SE:chr1:23691829-23691805:23691829-23692611:+	308.0	13.0	500.0	10.0	0.08417774700545946	1.0
ENSG00000142676.14;SE:chr1:23691829-23692611:23692759-23693806:+	321.0	15.0	510.0	21.0	0.7291077843820154	1.0
ENSG00000142676.14;SE:chr1:23692759-23693806:23693913-23694659:+	473.0	12.0	793.0	29.0	0.3277255218211693	1.0
ENSG00000142676.14;SE:chr1:23693913-23694659:23694791-23695797:+	452.0	14.0	756.0	20.0	0.7202323468010928	1.0
ENSG00000142676.14;SE:chr1:23694791-23695797:23695908-23696343:+	464.0	9.0	785.0	16.0	1.0	1.0
ENSG00000142676.14;SE:chr1:23695908-23696343:23696392-23696343:+	363.0	149.0	592.0	261.0	0.5833609801990199	1.0
ENSG00000142676.14;SE:chr1:23691829-23691805:23691829-23692608:+	50.0	56.0	89.0	103.0	0.9040348566020303	1.0
ENSG00000142676.14;SE:chr1:23691829-23692608:23692759-23693806:+	87.0	15.0	157.0	21.0	0.5782171841132384	1.0
