event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000157916.19;MX:chr1:2391958-2391826:2391958-2395783:2391958-2395607:2395648-2395783:+	38.0	13.0	62.0	28.0	0.5643621919875064	1.0
ENSG00000171735.18;MX:chr1:6785575-6785476:6785575-6825091:6785575-6806982:6807088-6825091:+	11.0	23.0	12.0	39.0	0.4566361181612084	1.0
ENSG00000171735.18;MX:chr1:6785575-6785473:6785575-6825091:6785575-6806982:6807088-6825091:+	3.0	23.0	2.0	39.0	0.3686330253494423	1.0
ENSG00000171735.18;MX:chr1:6785575-6806982:6807088-6825091:6785575-6820180:6820250-6825091:+	23.0	25.0	39.0	23.0	0.12606321866102677	1.0
ENSG00000171735.18;MX:chr1:6785575-6785476:6785575-6825091:6785575-6820180:6820250-6825091:+	11.0	25.0	12.0	23.0	0.8029376728380979	1.0
ENSG00000171735.18;MX:chr1:6785575-6785473:6785575-6825091:6785575-6820180:6820250-6825091:+	3.0	25.0	2.0	23.0	1.0	1.0
ENSG00000171735.18;MX:chr1:6871840-6886239:6886346-6887653:6871840-6887653:6888055-6887653:+	5.0	19.0	6.0	15.0	0.7301740677804226	1.0
ENSG00000049245.12;MX:chr1:7771385-7771319:7771385-7777159:7771385-7773441:7773511-7777159:+	7.0	39.0	7.0	61.0	0.562451813561649	1.0
ENSG00000116288.12;MX:chr1:7970963-7977651:7977738-7984893:7970963-7984893:7985283-7984893:+	83.0	3.0	120.0	5.0	1.0	1.0
ENSG00000175279.21;MX:chr1:10430568-10430432:10430568-10433841:10430568-10430875:10431401-10433841:+	7.0	60.0	8.0	40.0	0.4035531336786391	1.0
ENSG00000083444.16;MX:chr1:11954893-11956916:11957014-11957841:11954893-11957089:11957193-11957841:+	87.0	8.0	44.0	12.0	0.027401332465523686	1.0
ENSG00000270136.6;MX:chr1:19597109-19597026:19597109-19622099:19597109-19617257:19617336-19622099:+	15.0	11.0	18.0	16.0	0.796325006627504	1.0
ENSG00000270136.6;MX:chr1:19597109-19597026:19597109-19622099:19597109-19600786:19600971-19622099:+	15.0	8.0	18.0	3.0	0.16850412085806366	1.0
ENSG00000070831.15;MX:chr1:22052742-22052719:22052742-22078428:22052742-22074093:22074219-22078428:+	91.0	2.0	143.0	6.0	0.714083214653151	1.0
ENSG00000070831.15;MX:chr1:22052868-22052771:22052868-22078428:22052868-22074093:22074219-22078428:+	265.0	269.0	451.0	424.0	0.5099299109508697	1.0
ENSG00000142676.14;MX:chr1:23693913-23694659:23694791-23696343:23693913-23695797:23695908-23696343:+	9.0	14.0	16.0	20.0	0.7896563579293095	1.0
ENSG00000142676.14;MX:chr1:23691829-23692608:23692759-23694659:23691829-23693806:23693913-23694659:+	12.0	15.0	29.0	21.0	0.33928380507231237	1.0
ENSG00000142676.14;MX:chr1:23692759-23693806:23693913-23695797:23692759-23694659:23694791-23695797:+	14.0	12.0	20.0	29.0	0.334142216572513	1.0
ENSG00000198830.10;MX:chr1:26472627-26473482:26473527-26474084:26472627-26473702:26473732-26474084:+	13.0	45.0	20.0	92.0	0.5408350249053318	1.0
ENSG00000198830.10;MX:chr1:26472627-26473482:26473585-26474084:26472627-26473702:26473732-26474084:+	54.0	45.0	78.0	92.0	0.20604589060962786	1.0
ENSG00000198830.10;MX:chr1:26472627-26472505:26472627-26473702:26472627-26473482:26473585-26473702:+	45.0	30.0	92.0	99.0	0.10171356533841129	1.0
ENSG00000198830.10;MX:chr1:26473527-26473702:26473732-26474571:26473527-26474084:26474135-26474571:+	38.0	34.0	114.0	88.0	0.6788665626758379	1.0
ENSG00000198830.10;MX:chr1:26472627-26472505:26472627-26473702:26472627-26473482:26473527-26473702:+	45.0	255.0	92.0	533.0	0.921411655755181	1.0
ENSG00000198830.10;MX:chr1:26473527-26473237:26473527-26474084:26473527-26473702:26473732-26474084:+	21.0	225.0	68.0	433.0	0.05407246945048662	1.0
ENSG00000198830.10;MX:chr1:26473527-26473237:26473527-26474084:26473527-26473702:26473817-26474084:+	21.0	29.0	68.0	88.0	0.8711153671685838	1.0
ENSG00000198830.10;MX:chr1:26472627-26473482:26473585-26474571:26472627-26474084:26474135-26474571:+	38.0	34.0	85.0	92.0	0.5762829075794356	1.0
ENSG00000198830.10;MX:chr1:26472627-26473482:26473527-26474571:26472627-26474084:26474135-26474571:+	34.0	34.0	103.0	92.0	0.7781937143021634	1.0
ENSG00000198830.10;MX:chr1:26472627-26473482:26473585-26474571:26472627-26473702:26474135-26474571:+	38.0	32.0	85.0	97.0	0.3252624249406211	1.0
ENSG00000198830.10;MX:chr1:26472627-26473482:26473527-26474571:26472627-26473702:26474135-26474571:+	34.0	32.0	103.0	97.0	1.0	1.0
ENSG00000198830.10;MX:chr1:26473732-26474084:26474135-26475112:26473732-26474571:26474667-26475112:+	49.0	38.0	95.0	114.0	0.0979093430760832	1.0
ENSG00000198492.15;MX:chr1:28738338-28742402:28743986-28768928:28738338-28768928:28769659-28768928:+	41.0	0.0	61.0	1.0	1.0	1.0
ENSG00000121766.15;MX:chr1:31297075-31297022:31297075-31319108:31297075-31310043:31310164-31319108:+	0.0	21.0	3.0	37.0	0.5448735759933312	1.0
ENSG00000131236.16;MX:chr1:40040801-40040757:40040801-40059336:40040801-40041428:40041493-40059336:+	102.0	4.0	182.0	19.0	0.10835177601208605	1.0
ENSG00000131236.16;MX:chr1:40040801-40040757:40040801-40059333:40040801-40041428:40041493-40059333:+	25.0	9.0	33.0	7.0	0.4042085845885559	1.0
ENSG00000065978.18;MX:chr1:42696944-42696744:42696944-42700780:42696944-42697179:42697262-42700780:+	721.0	1726.0	1060.0	2449.0	0.5459011471491912	1.0
ENSG00000117410.13;MX:chr1:43975107-43974966:43975107-43976089:43975107-43975799:43975848-43976089:+	60.0	44.0	56.0	34.0	0.5589175698687564	1.0
ENSG00000142937.11;MX:chr1:44776774-44777613:44777789-44778575:44776774-44777999:44778129-44778575:+	15.0	10.0	17.0	6.0	0.36847909808651175	1.0
ENSG00000142937.11;MX:chr1:44775600-44776033:44776140-44777613:44775600-44776674:44776774-44777613:+	16.0	25.0	14.0	42.0	0.18287600981051116	1.0
ENSG00000142937.11;MX:chr1:44776140-44776674:44776774-44777999:44776140-44777613:44777789-44777999:+	10.0	16.0	6.0	14.0	0.7557068898074877	1.0
ENSG00000117448.13;MX:chr1:45551155-45561788:45561878-45566868:45551155-45566568:45566688-45566868:+	2.0	41.0	4.0	31.0	0.39965023382471065	1.0
ENSG00000117448.13;MX:chr1:45551155-45552435:45552563-45566568:45551155-45561788:45561878-45566568:+	4.0	122.0	2.0	150.0	0.41521732339635	1.0
ENSG00000132780.16;MX:chr1:45613248-45611851:45613248-45614292:45613248-45614095:45614181-45614292:+	10.0	664.0	8.0	464.0	0.8122729035416496	1.0
ENSG00000132780.16;MX:chr1:45616393-45616625:45616703-45618060:45616393-45617462:45617591-45618060:+	19.0	18.0	11.0	15.0	0.6095365440084348	1.0
ENSG00000132780.16;MX:chr1:45591270-45594693:45594773-45602254:45591270-45600384:45600457-45602254:+	5.0	26.0	6.0	22.0	0.7414469600137047	1.0
ENSG00000132780.16;MX:chr1:45615471-45616336:45616393-45617462:45615471-45616625:45616703-45617462:+	18.0	100.0	15.0	48.0	0.16313699552440236	1.0
ENSG00000173660.11;MX:chr1:46303820-46303697:46303820-46310154:46303820-46309100:46309127-46310154:+	2.0	790.0	4.0	611.0	0.4133613951853846	1.0
ENSG00000173660.11;MX:chr1:46303820-46309100:46309127-46310154:46303820-46309896:46310044-46310154:+	790.0	6.0	611.0	5.0	1.0	1.0
ENSG00000117859.18;MX:chr1:51746757-51748368:51748398-51750144:51746757-51749501:51749588-51750144:+	134.0	4.0	125.0	1.0	0.3728394422567782	1.0
ENSG00000116212.14;MX:chr1:53946549-53947787:53947821-53951985:53946549-53947861:53947981-53951985:+	19.0	13.0	29.0	17.0	0.8149213874365908	1.0
ENSG00000116212.14;MX:chr1:53946549-53946378:53946549-53951985:53946549-53947787:53947821-53951985:+	6.0	19.0	21.0	29.0	0.2014635814730581	1.0
ENSG00000213625.8;MX:chr1:65425378-65429861:65430048-65431802:65425378-65431802:65432957-65431802:+	132.0	4.0	176.0	6.0	1.0	1.0
ENSG00000117054.13;MX:chr1:75724817-75724702:75724817-75732643:75724817-75728400:75728488-75732643:+	10.0	97.0	13.0	156.0	0.6589276349169649	1.0
ENSG00000137955.15;MX:chr1:75786274-75786255:75786274-75787496:75786274-75786699:75786916-75787496:+	35.0	3.0	64.0	9.0	0.7483988726250987	1.0
ENSG00000137955.15;MX:chr1:75786274-75786255:75786274-75787496:75786274-75786699:75786865-75787496:+	35.0	1.0	64.0	11.0	0.09900046114515419	1.0
ENSG00000097033.14;MX:chr1:86704971-86704856:86704971-86719506:86704971-86715723:86715865-86719506:+	1.0	106.0	3.0	236.0	1.0	1.0
ENSG00000122406.13;MX:chr1:92832117-92832064:92832117-92833544:92832117-92833388:92833458-92833544:+	28.0	275.0	42.0	369.0	0.7038501958987162	1.0
ENSG00000122406.13;MX:chr1:92833458-92833544:92833660-92836189:92833458-92834778:92834913-92836189:+	13.0	19.0	25.0	27.0	0.6520952923578553	1.0
ENSG00000122481.16;MX:chr1:95234315-95234217:95234315-95246541:95234315-95244210:95244698-95246541:+	7.0	18.0	4.0	17.0	0.5137576164235244	1.0
ENSG00000031698.12;MX:chr1:109214128-109213959:109214128-109228351:109214128-109223977:109224048-109228351:+	5.0	89.0	10.0	375.0	0.18706381358415036	1.0
ENSG00000116459.10;MX:chr1:111449581-111449836:111449873-111456085:111449581-111454210:111454356-111456085:+	20.0	5.0	50.0	13.0	1.0	1.0
ENSG00000116459.10;MX:chr1:111449581-111449496:111449581-111454210:111449581-111449836:111449873-111454210:+	5.0	423.0	13.0	739.0	0.6225013949002012	1.0
ENSG00000116473.14;MX:chr1:111619934-111619827:111619934-111691333:111619934-111627469:111627563-111691333:+	67.0	21.0	92.0	18.0	0.2107394565451292	1.0
ENSG00000116473.14;MX:chr1:111619934-111619827:111619934-111691333:111619934-111627469:111627559-111691333:+	67.0	9.0	92.0	8.0	0.44563674602500875	1.0
ENSG00000159352.15;MX:chr1:151254808-151254752:151254808-151263913:151254808-151262160:151262301-151263913:+	12.0	84.0	10.0	60.0	0.818120011614172	1.0
ENSG00000143553.10;MX:chr1:153658886-153658723:153658886-153659447:153658886-153659137:153659184-153659447:+	43.0	214.0	29.0	102.0	0.21480473809534506	1.0
ENSG00000160752.14;MX:chr1:155308965-155308900:155308965-155310042:155308965-155309788:155309965-155310042:+	20.0	29.0	17.0	41.0	0.22809132807080912	1.0
ENSG00000160752.14;MX:chr1:155309076-155308939:155309076-155310042:155309076-155309788:155309965-155310042:+	10.0	11.0	17.0	12.0	0.5674553152171233	1.0
ENSG00000160752.14;MX:chr1:155308965-155308900:155308965-155310042:155308965-155309752:155309965-155310042:+	20.0	5.0	17.0	14.0	0.08722460632308318	1.0
ENSG00000160783.19;MX:chr1:156213176-156225556:156225668-156233627:156213176-156232319:156232425-156233627:+	4.0	76.0	3.0	73.0	1.0	1.0
ENSG00000162734.12;MX:chr1:160205522-160205404:160205522-160211542:160205522-160207132:160207237-160211542:+	7.0	16.0	20.0	17.0	0.10958360275134442	1.0
ENSG00000117523.16;MX:chr1:171588505-171589368:171589605-171591586:171588505-171591151:171591204-171591586:+	183.0	323.0	133.0	287.0	0.16393344362355866	1.0
ENSG00000117523.16;MX:chr1:171588505-171589368:171589605-171591586:171588505-171591151:171591200-171591586:+	183.0	193.0	133.0	143.0	0.9368458822673003	1.0
ENSG00000198700.9;MX:chr1:201829372-201829182:201829372-201847278:201829372-201834953:201835064-201847278:+	66.0	17.0	42.0	18.0	0.23772367658171256	1.0
ENSG00000257315.2;MX:chr1:203795794-203795653:203795794-203801574:203795794-203796292:203796496-203801574:+	28.0	16.0	38.0	26.0	0.6920857152884236	1.0
