event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000169972.11;RI:chr1:1309453:1309603-1309680:1309851:+	3.0	62.0	5.0	49.0	0.46573694101115726	1.0
ENSG00000277726.4;RI:chr1:11022123:11022241-11023192:11024041:+	34.0	10.0	17.0	12.0	0.11935558151208364	1.0
ENSG00000277726.4;RI:chr1:11022123:11022177-11022352:11024041:+	34.0	11.0	17.0	4.0	0.7581034235574582	1.0
ENSG00000277726.4;RI:chr1:11022123:11023329-11024063:11024335:+	195.0	28.0	130.0	20.0	0.8751825603034571	1.0
ENSG00000277726.4;RI:chr1:11022123:11022241-11024301:11024335:+	195.0	11.0	130.0	3.0	0.2629021648275661	1.0
ENSG00000277726.4;RI:chr1:11022123:11023329-11024301:11024335:+	195.0	9.0	130.0	7.0	0.7978112484827103	1.0
ENSG00000116688.16;RI:chr1:12006537:12006693-12007052:12007249:+	6.0	82.0	8.0	71.0	0.5780991184870339	1.0
ENSG00000053372.4;RI:chr1:19257453:19257521-19257832:19257984:+	19.0	258.0	16.0	171.0	0.5913564369834855	1.0
ENSG00000270136.6;RI:chr1:19623473:19623583-19626386:19626622:+	8.0	50.0	5.0	24.0	0.7528299978780337	1.0
ENSG00000142676.14;RI:chr1:23694659:23694791-23695797:23695908:+	94.0	954.0	42.0	785.0	0.0012092378232175269	0.992130163902607
ENSG00000011007.12;RI:chr1:23755842:23756023-23756273:23756385:+	2.0	78.0	5.0	76.0	0.4427404732917739	1.0
ENSG00000011007.12;RI:chr1:23754099:23754255-23754362:23754460:+	11.0	69.0	9.0	72.0	0.6407934980814424	1.0
ENSG00000011009.10;RI:chr1:23794426:23794600-23794681:23795542:+	18.0	50.0	17.0	51.0	1.0	1.0
ENSG00000133226.16;RI:chr1:24647078:24647208-24648858:24649029:+	20.0	42.0	28.0	43.0	0.4698574642965572	1.0
ENSG00000133226.16;RI:chr1:24646666:24646789-24647078:24649029:+	5.0	20.0	10.0	28.0	0.7636211291309255	1.0
ENSG00000133226.16;RI:chr1:24646666:24646789-24648858:24649029:+	5.0	401.0	10.0	239.0	0.029311043551037985	1.0
ENSG00000133226.16;RI:chr1:24649970:24650086-24651408:24651612:+	13.0	402.0	17.0	286.0	0.13006609395797694	1.0
ENSG00000133226.16;RI:chr1:24649970:24650086-24651498:24651612:+	13.0	66.0	17.0	28.0	0.009580693891345101	1.0
ENSG00000183726.10;RI:chr1:25351625:25351693-25352881:25352974:+	3.0	150.0	13.0	229.0	0.11830171610716742	1.0
ENSG00000142684.8;RI:chr1:26170417:26170480-26170574:26170868:+	6.0	209.0	5.0	204.0	1.0	1.0
ENSG00000130695.15;RI:chr1:26271013:26271107-26272020:26272071:+	6.0	58.0	8.0	46.0	0.4031028602562012	1.0
ENSG00000198830.10;RI:chr1:26473482:26473527-26473702:26473732:+	96.0	488.0	111.0	466.0	0.2205856570366725	1.0
ENSG00000198830.10;RI:chr1:26473482:26473585-26473702:26473732:+	96.0	85.0	111.0	99.0	1.0	1.0
ENSG00000198830.10;RI:chr1:26473482:26473732-26474084:26474135:+	69.0	96.0	88.0	111.0	0.6715671938426898	1.0
ENSG00000198830.10;RI:chr1:26473482:26473527-26473702:26474135:+	69.0	97.0	88.0	82.0	0.06406060407765947	1.0
