event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000157916.19;MX:chr1:2391958-2391826:2391958-2395783:2391958-2395607:2395648-2395783:+	38.0	13.0	55.0	15.0	0.6649657910847322	1.0
ENSG00000171735.18;MX:chr1:6785575-6785476:6785575-6825091:6785575-6806982:6807088-6825091:+	11.0	23.0	13.0	42.0	0.46212384138339424	1.0
ENSG00000171735.18;MX:chr1:6785575-6785473:6785575-6825091:6785575-6806982:6807088-6825091:+	3.0	23.0	5.0	42.0	1.0	1.0
ENSG00000171735.18;MX:chr1:6785575-6806982:6807088-6825091:6785575-6820180:6820250-6825091:+	23.0	25.0	42.0	28.0	0.2583736020394963	1.0
ENSG00000171735.18;MX:chr1:6785575-6785476:6785575-6825091:6785575-6820180:6820250-6825091:+	11.0	25.0	13.0	28.0	1.0	1.0
ENSG00000171735.18;MX:chr1:6785575-6785473:6785575-6825091:6785575-6820180:6820250-6825091:+	3.0	25.0	5.0	28.0	0.7154886238312823	1.0
ENSG00000171735.18;MX:chr1:6871840-6886239:6886346-6887653:6871840-6887653:6888055-6887653:+	5.0	19.0	14.0	10.0	0.017127613226326464	0.9999999999997874
ENSG00000049245.12;MX:chr1:7771385-7771319:7771385-7777159:7771385-7773441:7773511-7777159:+	7.0	39.0	7.0	56.0	0.5713908520841993	1.0
ENSG00000116288.12;MX:chr1:7970963-7977651:7977738-7984893:7970963-7984893:7985283-7984893:+	83.0	3.0	162.0	3.0	0.41511039816179	1.0
ENSG00000175279.21;MX:chr1:10430568-10430432:10430568-10433841:10430568-10430875:10431401-10433841:+	7.0	60.0	20.0	97.0	0.28096240648294224	1.0
ENSG00000083444.16;MX:chr1:11954893-11956916:11957014-11957841:11954893-11957089:11957193-11957841:+	87.0	8.0	68.0	10.0	0.454067572824552	1.0
ENSG00000270136.6;MX:chr1:19597109-19597026:19597109-19622099:19597109-19617257:19617336-19622099:+	15.0	11.0	29.0	31.0	0.485993705843741	1.0
ENSG00000270136.6;MX:chr1:19597109-19597026:19597109-19622099:19597109-19600786:19600971-19622099:+	15.0	8.0	29.0	4.0	0.05368791743606638	1.0
ENSG00000070831.15;MX:chr1:22052742-22052719:22052742-22078428:22052742-22074093:22074219-22078428:+	91.0	2.0	117.0	4.0	0.6993380514208514	1.0
ENSG00000070831.15;MX:chr1:22052868-22052771:22052868-22078428:22052868-22074093:22074219-22078428:+	265.0	269.0	457.0	400.0	0.18571945920374994	1.0
ENSG00000142676.14;MX:chr1:23693913-23694659:23694791-23696343:23693913-23695797:23695908-23696343:+	9.0	14.0	25.0	20.0	0.3052811929643783	1.0
ENSG00000142676.14;MX:chr1:23691829-23692608:23692759-23694659:23691829-23693806:23693913-23694659:+	12.0	15.0	35.0	38.0	0.8236191868507443	1.0
ENSG00000142676.14;MX:chr1:23692759-23693806:23693913-23695797:23692759-23694659:23694791-23695797:+	14.0	12.0	20.0	35.0	0.1549285695291675	1.0
ENSG00000198830.10;MX:chr1:26472627-26473482:26473527-26474084:26472627-26473702:26473732-26474084:+	13.0	45.0	17.0	100.0	0.20637512066005703	1.0
ENSG00000198830.10;MX:chr1:26472627-26473482:26473585-26474084:26472627-26473702:26473732-26474084:+	54.0	45.0	92.0	100.0	0.3226851976800592	1.0
ENSG00000198830.10;MX:chr1:26472627-26472505:26472627-26473702:26472627-26473482:26473585-26473702:+	45.0	30.0	100.0	85.0	0.4105306156233792	1.0
ENSG00000198830.10;MX:chr1:26473527-26473702:26473732-26474571:26473527-26474084:26474135-26474571:+	38.0	34.0	94.0	103.0	0.4929290213798628	1.0
