event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	42MGBA_42MGBAres.adj.pval
ENSG00000169972.11;SE:chr1:1308720-1308914:1308972-1309085:+	34.0	18.0	33.0	6.0	0.05434315984818128	1.0
ENSG00000224051.6;SE:chr1:1325102-1326835:1327032-1327240:+	18.0	6.0	31.0	10.0	1.0	1.0
ENSG00000157916.19;SE:chr1:2397220-2399414:2399514-2400856:+	91.0	11.0	106.0	10.0	0.6494661623021096	1.0
ENSG00000157916.19;SE:chr1:2391958-2391826:2391958-2395783:+	55.0	32.0	62.0	26.0	0.33807970927689984	1.0
ENSG00000157916.19;SE:chr1:2402342-2403034:2403217-2403034:+	55.0	47.0	62.0	54.0	1.0	1.0
ENSG00000157916.19;SE:chr1:2391958-2395607:2395648-2395783:+	15.0	87.0	28.0	88.0	0.09002262264866345	1.0
ENSG00000157873.17;SE:chr1:2560714-2561672:2561815-2562864:+	23.0	8.0	18.0	4.0	0.7404362615886152	1.0
ENSG00000171735.18;SE:chr1:6785575-6806982:6807088-6825091:+	42.0	19.0	39.0	15.0	0.8380307708770978	1.0
ENSG00000171735.18;SE:chr1:6825210-6871756:6871840-6887653:+	25.0	10.0	30.0	5.0	0.2435714498491533	1.0
ENSG00000171735.18;SE:chr1:6871840-6887653:6887899-6887653:+	13.0	18.0	12.0	24.0	0.6130612272580374	1.0
ENSG00000171735.18;SE:chr1:6785575-6820180:6820250-6825091:+	28.0	19.0	23.0	15.0	1.0	1.0
ENSG00000171735.18;SE:chr1:6871840-6887653:6888055-6887653:+	10.0	21.0	15.0	21.0	0.45879606906055337	1.0
ENSG00000171735.18;SE:chr1:6871840-6886239:6886346-6887653:+	14.0	31.0	6.0	36.0	0.07725924112887587	1.0
ENSG00000171735.18;SE:chr1:6785575-6806982:6807088-6820180:+	139.0	28.0	130.0	23.0	0.7602350703528835	1.0
ENSG00000171735.18;SE:chr1:6807088-6820180:6820250-6825091:+	139.0	42.0	130.0	39.0	1.0	1.0
ENSG00000171735.18;SE:chr1:6825210-6871756:6872020-6871756:+	137.0	81.0	127.0	75.0	1.0	1.0
ENSG00000049245.12;SE:chr1:7771385-7771331:7771385-7773441:+	56.0	1.0	61.0	0.0	0.48305084745762655	1.0
ENSG00000049245.12;SE:chr1:7771385-7773441:7773511-7777159:+	56.0	7.0	61.0	7.0	1.0	1.0
ENSG00000049245.12;SE:chr1:7777318-7778117:7778169-7779625:+	83.0	6.0	85.0	7.0	1.0	1.0
ENSG00000116288.12;SE:chr1:7962875-7965323:7965425-7969344:+	159.0	31.0	132.0	17.0	0.21295899340081798	1.0
ENSG00000116288.12;SE:chr1:7965425-7969344:7969404-7970893:+	153.0	28.0	130.0	13.0	0.09456199209698304	1.0
ENSG00000116288.12;SE:chr1:7969404-7970893:7970963-7977651:+	151.0	11.0	122.0	6.0	0.6159765874070384	1.0
ENSG00000116288.12;SE:chr1:7970963-7977651:7977738-7984893:+	162.0	14.0	120.0	16.0	0.3330608305555627	1.0
ENSG00000116288.12;SE:chr1:7961735-7961669:7961735-7962762:+	19.0	82.0	9.0	53.0	0.5281112354108062	1.0
ENSG00000116288.12;SE:chr1:7961735-7961694:7961735-7962762:+	4.0	97.0	4.0	58.0	0.4805296721842116	1.0
ENSG00000116288.12;SE:chr1:7961793-7961685:7961793-7962762:+	20.0	46.0	17.0	34.0	0.8414405296447905	1.0
ENSG00000116288.12;SE:chr1:7961793-7962762:7962875-7965323:+	54.0	9.0	43.0	8.0	1.0	1.0
ENSG00000116288.12;SE:chr1:7977738-7984893:7985256-7984893:+	39.0	138.0	29.0	100.0	1.0	1.0
ENSG00000116288.12;SE:chr1:7970963-7977651:7977738-7984863:+	17.0	19.0	15.0	10.0	0.4354656628204872	1.0
ENSG00000116288.12;SE:chr1:7961735-7961701:7961735-7962762:+	22.0	79.0	17.0	45.0	0.45224350551720505	1.0
ENSG00000142657.20;SE:chr1:10400572-10403070:10403136-10404160:+	927.0	25.0	182.0	11.0	0.03849428091691026	1.0
ENSG00000142657.20;SE:chr1:10408140-10411417:10411552-10413061:+	930.0	30.0	187.0	7.0	0.6592347813485009	1.0
ENSG00000142657.20;SE:chr1:10418925-10419416:10419539-10419629:+	982.0	14.0	200.0	5.0	0.3498543427115137	1.0
ENSG00000142657.20;SE:chr1:10399125-10399063:10399125-10399628:+	790.0	44.0	168.0	12.0	0.4715495658569022	1.0
ENSG00000142657.20;SE:chr1:10419539-10419629:10420137-10419629:+	832.0	153.0	175.0	25.0	0.3283377783696143	1.0
ENSG00000175279.21;SE:chr1:10430568-10430432:10430568-10433841:+	20.0	28.0	8.0	19.0	0.33160464858163785	1.0
ENSG00000175279.21;SE:chr1:10440413-10442264:10442704-10442264:+	26.0	158.0	11.0	68.0	1.0	1.0
ENSG00000175279.21;SE:chr1:10430568-10430875:10431401-10433841:+	97.0	48.0	40.0	27.0	0.3546341029929275	1.0
ENSG00000175279.21;SE:chr1:10433965-10434656:10434690-10440346:+	141.0	26.0	61.0	11.0	1.0	1.0
ENSG00000175279.21;SE:chr1:10430568-10433841:10433965-10434656:+	28.0	8.0	19.0	4.0	0.749089480042364	1.0
ENSG00000175279.21;SE:chr1:10431401-10430772:10431401-10433841:+	6.0	121.0	3.0	45.0	0.7071275390679518	1.0
ENSG00000142655.12;SE:chr1:10536297-10599237:10599366-10618331:+	37.0	9.0	18.0	4.0	1.0	1.0
ENSG00000142655.12;SE:chr1:10495321-10517027:10517131-10536212:+	10.0	36.0	4.0	18.0	1.0	1.0
ENSG00000277726.4;SE:chr1:11013965-11016843:11017007-11018732:+	279.0	8.0	182.0	5.0	1.0	1.0
ENSG00000277726.4;SE:chr1:11012743-11012658:11012743-11013715:+	195.0	101.0	130.0	57.0	0.42700928559053564	1.0
ENSG00000277726.4;SE:chr1:11013965-11016122:11016254-11016843:+	11.0	279.0	6.0	182.0	0.805249662087957	1.0
ENSG00000132879.13;SE:chr1:11654952-11655327:11655699-11655805:+	6.0	40.0	6.0	18.0	0.3159477946862462	1.0
ENSG00000177674.15;SE:chr1:11745837-11745929:11746223-11747439:+	8.0	89.0	4.0	42.0	1.0	1.0
ENSG00000177674.15;SE:chr1:11736235-11745802:11745837-11747439:+	89.0	6.0	42.0	1.0	0.43459035000949847	1.0
ENSG00000177674.15;SE:chr1:11736235-11736168:11736235-11745802:+	37.0	65.0	15.0	33.0	0.5856698913783354	1.0
ENSG00000177674.15;SE:chr1:11748610-11750076:11750768-11750076:+	37.0	19.0	15.0	7.0	1.0	1.0
ENSG00000011021.22;SE:chr1:11828219-11828457:11828624-11829195:+	16.0	6.0	17.0	18.0	0.1001543568408785	1.0
ENSG00000083444.16;SE:chr1:11934855-11934724:11934855-11947975:+	17.0	57.0	9.0	52.0	0.27610038087107924	1.0
ENSG00000083444.16;SE:chr1:11957943-11958515:11958647-11960645:+	78.0	8.0	61.0	6.0	1.0	1.0
ENSG00000083444.16;SE:chr1:11963636-11964174:11964300-11964643:+	75.0	11.0	59.0	8.0	1.0	1.0
ENSG00000083444.16;SE:chr1:11965593-11966250:11966316-11966986:+	81.0	13.0	71.0	6.0	0.23258241824469872	1.0
ENSG00000083444.16;SE:chr1:11966316-11966986:11967091-11970669:+	74.0	10.0	62.0	9.0	1.0	1.0
ENSG00000083444.16;SE:chr1:11967091-11970669:11970816-11972871:+	91.0	7.0	71.0	9.0	0.43181840791816045	1.0
ENSG00000083444.16;SE:chr1:11972997-11974652:11975524-11974652:+	17.0	91.0	9.0	80.0	0.29350119506344957	1.0
ENSG00000083444.16;SE:chr1:11934855-11944521:11944662-11947975:+	12.0	74.0	6.0	61.0	0.4502482056071291	1.0
ENSG00000083444.16;SE:chr1:11967091-11966959:11967091-11970669:+	4.0	87.0	3.0	68.0	1.0	1.0
ENSG00000116688.16;SE:chr1:11998878-11998987:11999095-12001400:+	63.0	12.0	60.0	6.0	0.3123755051060738	1.0
ENSG00000116688.16;SE:chr1:12009726-12011495:12011560-12011495:+	23.0	65.0	16.0	68.0	0.280977310188388	1.0
ENSG00000116688.16;SE:chr1:12009726-12011495:12013125-12011495:+	4.0	84.0	3.0	81.0	1.0	1.0
ENSG00000116138.12;SE:chr1:15526958-15529087:15529272-15534236:+	1.0	98.0	2.0	61.0	0.5605978260869547	1.0
ENSG00000162458.12;SE:chr1:15765233-15767375:15767563-15768527:+	76.0	12.0	52.0	12.0	0.4999040776317674	1.0
ENSG00000162458.12;SE:chr1:15777287-15784547:15785087-15784547:+	2.0	98.0	1.0	69.0	1.0	1.0
ENSG00000065526.10;SE:chr1:15938876-15939295:15940145-15939295:+	57.0	4.0	54.0	4.0	1.0	1.0
ENSG00000065526.10;SE:chr1:15938876-15939295:15940266-15939295:+	4.0	57.0	4.0	54.0	1.0	1.0
ENSG00000055070.16;SE:chr1:16393482-16395037:16395595-16395037:+	58.0	72.0	29.0	51.0	0.2511385017155393	1.0
ENSG00000055070.16;SE:chr1:16367308-16367261:16367308-16391374:+	19.0	53.0	15.0	36.0	0.8381411613439165	1.0
ENSG00000055070.16;SE:chr1:16393482-16395037:16396372-16395037:+	19.0	111.0	15.0	65.0	0.44565158194017745	1.0
ENSG00000055070.16;SE:chr1:16367308-16391374:16391424-16393227:+	53.0	19.0	36.0	4.0	0.0508787909312611	1.0
ENSG00000157191.19;SE:chr1:16449201-16451837:16452015-16455817:+	186.0	14.0	174.0	14.0	1.0	1.0
ENSG00000157191.19;SE:chr1:16452015-16455817:16455893-16458841:+	197.0	13.0	183.0	14.0	0.8425122616759145	1.0
ENSG00000157191.19;SE:chr1:16440853-16443631:16443732-16447869:+	201.0	12.0	188.0	14.0	0.6865255704063431	1.0
ENSG00000157191.19;SE:chr1:16449201-16450124:16450241-16451837:+	11.0	199.0	9.0	188.0	0.8212328389723401	1.0
ENSG00000053372.4;SE:chr1:19251863-19254781:19254840-19255947:+	214.0	6.0	132.0	10.0	0.06638701634363828	1.0
