event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000157916.19;A3:chr1:2400935-2402096:2400935-2402206:+	12.0	58.0	21.0	81.0	0.6942155516499687	1.0
ENSG00000157870.15;A3:chr1:2588625-2588921:2588625-2588956:+	13.0	10.0	15.0	17.0	0.5874826430537723	1.0
ENSG00000041988.15;A3:chr1:6628691-6630287:6628691-6630290:+	36.0	2.0	44.0	3.0	1.0	1.0
ENSG00000049245.12;A3:chr1:7771385-7771319:7771385-7771331:+	7.0	39.0	7.0	56.0	0.5713908520841993	1.0
ENSG00000116288.12;A3:chr1:7977738-7984863:7977738-7984893:+	14.0	95.0	17.0	177.0	0.3233387224011081	1.0
ENSG00000142657.20;A3:chr1:10399704-10400375:10399704-10400392:+	87.0	486.0	132.0	840.0	0.4063741396802082	1.0
ENSG00000277726.4;A3:chr1:11023329-11024063:11023329-11024301:+	24.0	11.0	28.0	9.0	0.6016169312270725	1.0
ENSG00000177674.15;A3:chr1:11745837-11745987:11745837-11747439:+	6.0	52.0	5.0	89.0	0.33505803145157703	1.0
ENSG00000116138.12;A3:chr1:15567269-15567777:15567269-15569652:+	120.0	15.0	98.0	14.0	0.8431381694243516	1.0
ENSG00000162458.12;A3:chr1:15758848-15764492:15758848-15764495:+	29.0	11.0	56.0	20.0	1.0	1.0
ENSG00000055070.16;A3:chr1:16391424-16393227:16391424-16393230:+	38.0	4.0	53.0	19.0	0.03226141727720469	1.0
ENSG00000142676.14;A3:chr1:23691829-23692608:23691829-23692611:+	106.0	321.0	293.0	614.0	0.005813916906623747	0.9999999999222006
ENSG00000142676.14;A3:chr1:23693913-23694659:23693913-23695797:+	27.0	14.0	94.0	20.0	0.045829214327507195	1.0
ENSG00000011009.10;A3:chr1:23791250-23792551:23791250-23792656:+	1.0	35.0	6.0	62.0	0.41713928674421175	1.0
ENSG00000133226.16;A3:chr1:24646789-24647078:24646789-24648858:+	20.0	191.0	20.0	401.0	0.024794099823143255	1.0
ENSG00000133226.16;A3:chr1:24650086-24651408:24650086-24651498:+	211.0	23.0	402.0	66.0	0.11859073257831797	1.0
ENSG00000133226.16;A3:chr1:24652628-24652912:24652628-24652927:+	196.0	34.0	373.0	74.0	0.5811754696515392	1.0
ENSG00000133226.16;A3:chr1:24652628-24652912:24652628-24652914:+	196.0	16.0	373.0	34.0	0.8766064711279467	1.0
ENSG00000133226.16;A3:chr1:24660799-24661309:24660799-24661312:+	166.0	70.0	312.0	161.0	0.2691329211855758	1.0
ENSG00000133226.16;A3:chr1:24652628-24652914:24652628-24652927:+	16.0	34.0	34.0	74.0	1.0	1.0
ENSG00000157978.11;A3:chr1:25563791-25565172:25563791-25565175:+	22.0	3.0	31.0	3.0	0.6912210391554533	1.0
ENSG00000117640.17;A3:chr1:25826826-25829508:25826826-25829617:+	86.0	24.0	110.0	29.0	0.8771000914909881	1.0
ENSG00000117640.17;A3:chr1:25820029-25822995:25820029-25823018:+	6.0	90.0	9.0	110.0	0.7921960633886755	1.0
ENSG00000130695.15;A3:chr1:26276760-26277132:26276760-26277135:+	24.0	16.0	34.0	40.0	0.1731687241124515	1.0
ENSG00000142669.14;A3:chr1:26280203-26280082:26280203-26280110:+	36.0	8.0	58.0	10.0	0.7928672760227752	1.0
ENSG00000117682.16;A3:chr1:26460144-26468891:26460144-26468894:+	13.0	99.0	29.0	106.0	0.04264091114844959	1.0
ENSG00000198830.10;A3:chr1:26472627-26473482:26472627-26473702:+	77.0	77.0	165.0	186.0	0.5623097153568801	1.0
ENSG00000198830.10;A3:chr1:26472627-26473482:26472627-26474084:+	47.0	34.0	69.0	73.0	0.20998417546823417	1.0
ENSG00000198830.10;A3:chr1:26472627-26473702:26472627-26474084:+	32.0	34.0	86.0	73.0	0.46643605696920165	1.0
ENSG00000198830.10;A3:chr1:26474135-26474571:26474135-26475112:+	32.0	49.0	86.0	92.0	0.22595104139984634	1.0
ENSG00000198830.10;A3:chr1:26473527-26473702:26473527-26474084:+	45.0	34.0	97.0	103.0	0.23225553668899787	1.0
ENSG00000117713.19;A3:chr1:26772632-26772811:26772632-26772814:+	14.0	19.0	35.0	70.0	0.40538413523079675	1.0
ENSG00000117713.19;A3:chr1:26773898-26774328:26773898-26774979:+	20.0	8.0	46.0	36.0	0.18392882475496433	1.0
ENSG00000186501.14;A3:chr1:27322391-27322255:27322391-27322292:+	11.0	79.0	11.0	90.0	0.8230232224031415	1.0
ENSG00000130770.17;A3:chr1:28236452-28237760:28236452-28237836:+	13.0	43.0	27.0	91.0	1.0	1.0
ENSG00000160050.14;A3:chr1:32204045-32204185:32204045-32204597:+	9.0	20.0	9.0	37.0	0.2795407247651547	1.0
ENSG00000084623.11;A3:chr1:32224475-32226148:32224475-32226170:+	7.0	465.0	18.0	903.0	0.67113433045364	1.0
ENSG00000162521.18;A3:chr1:32651322-32651913:32651322-32651916:+	227.0	84.0	350.0	146.0	0.47185950595092685	1.0
ENSG00000162521.18;A3:chr1:32672901-32679639:32672901-32680525:+	203.0	10.0	298.0	16.0	1.0	1.0
ENSG00000162521.18;A3:chr1:32673580-32679634:32673580-32679639:+	21.0	28.0	31.0	47.0	0.8531003950795125	1.0
ENSG00000162521.18;A3:chr1:32652061-32668224:32652061-32668319:+	21.0	23.0	29.0	34.0	1.0	1.0
ENSG00000162521.18;A3:chr1:32672901-32679634:32672901-32679639:+	44.0	220.0	78.0	325.0	0.4133706970662478	1.0
ENSG00000162521.18;A3:chr1:32672901-32679634:32672901-32680525:+	44.0	10.0	78.0	16.0	0.8255477503197377	1.0
ENSG00000116497.17;A3:chr1:32826930-32827992:32826930-32827995:+	38.0	17.0	48.0	12.0	0.20222450510474116	1.0
ENSG00000116871.15;A3:chr1:36179315-36179511:36179315-36179514:+	15.0	21.0	20.0	31.0	0.8281847511647007	1.0
