gene_ref	gene_id	gene_name	condition_1	condition_2	isoformUpregulated	isoformDownregulated	iso_ref_up	iso_ref_down	featureCompared	isoformsDifferent	switchConsequence	isoPair	cell_line_comparison	featureCompared2
geneComp_00000853	ENSG00000065054.14	SLC9A3R2	acquired_resistant	intrinsically_resistant	ENST00000424542.7	ENST00000566198.1	isoComp_00009029	isoComp_00009036	tss	True	Tss more upstream	ENST00000424542.7 ENST00000566198.1	42MGBA_TMZRes vs. T98G	Alternative TSS
geneComp_00000853	ENSG00000065054.14	SLC9A3R2	acquired_resistant	intrinsically_resistant	ENST00000424542.7	ENST00000566198.1	isoComp_00009029	isoComp_00009036	intron_structure	True		ENST00000424542.7 ENST00000566198.1	42MGBA_TMZRes vs. T98G	Intron Structure
geneComp_00000853	ENSG00000065054.14	SLC9A3R2	acquired_resistant	intrinsically_resistant	ENST00000424542.7	ENST00000566198.1	isoComp_00009029	isoComp_00009036	exon_number	True	Exon gain	ENST00000424542.7 ENST00000566198.1	42MGBA_TMZRes vs. T98G	Exon Number
geneComp_00000853	ENSG00000065054.14	SLC9A3R2	acquired_resistant	intrinsically_resistant	ENST00000424542.7	ENST00000566198.1	isoComp_00009029	isoComp_00009036	5_utr_seq_similarity	True	5UTR is longer	ENST00000424542.7 ENST00000566198.1	42MGBA_TMZRes vs. T98G	Alternative 5' UTR Seq
geneComp_00007163	ENSG00000139428.12	MMAB	acquired_resistant	intrinsically_resistant	ENST00000537496.5	ENST00000545712.7	isoComp_00069569	isoComp_00069574	tts	True	Tts more downstream	ENST00000537496.5 ENST00000545712.7	42MGBA_TMZRes vs. T98G	Alternative TTS
geneComp_00007163	ENSG00000139428.12	MMAB	acquired_resistant	intrinsically_resistant	ENST00000537496.5	ENST00000545712.7	isoComp_00069569	isoComp_00069574	intron_structure	True		ENST00000537496.5 ENST00000545712.7	42MGBA_TMZRes vs. T98G	Intron Structure
geneComp_00007163	ENSG00000139428.12	MMAB	acquired_resistant	intrinsically_resistant	ENST00000537496.5	ENST00000545712.7	isoComp_00069569	isoComp_00069574	exon_number	True	Exon gain	ENST00000537496.5 ENST00000545712.7	42MGBA_TMZRes vs. T98G	Exon Number
geneComp_00007163	ENSG00000139428.12	MMAB	acquired_resistant	intrinsically_resistant	ENST00000537496.5	ENST00000545712.7	isoComp_00069569	isoComp_00069574	3_utr_seq_similarity	True	3UTR is shorter	ENST00000537496.5 ENST00000545712.7	42MGBA_TMZRes vs. T98G	Alternative 3' UTR Seq
geneComp_00010935	ENSG00000167460.17	TPM4	acquired_resistant	intrinsically_resistant	ENST00000646974.2	ENST00000643579.2	isoComp_00101029	isoComp_00101026	tss	True	Tss more upstream	ENST00000646974.2 ENST00000643579.2	42MGBA_TMZRes vs. T98G	Alternative TSS
geneComp_00010935	ENSG00000167460.17	TPM4	acquired_resistant	intrinsically_resistant	ENST00000646974.2	ENST00000643579.2	isoComp_00101029	isoComp_00101026	intron_structure	True		ENST00000646974.2 ENST00000643579.2	42MGBA_TMZRes vs. T98G	Intron Structure
