event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000157916.19;A3:chr1:2400935-2402096:2400935-2402206:+	21.0	81.0	16.0	100.0	0.20795650362736037	1.0
ENSG00000157870.15;A3:chr1:2588625-2588921:2588625-2588956:+	15.0	17.0	19.0	14.0	0.460297019030658	1.0
ENSG00000041988.15;A3:chr1:6628691-6630287:6628691-6630290:+	44.0	3.0	35.0	8.0	0.10881766347931607	1.0
ENSG00000049245.12;A3:chr1:7771385-7771319:7771385-7771331:+	7.0	56.0	7.0	61.0	1.0	1.0
ENSG00000116288.12;A3:chr1:7977738-7984863:7977738-7984893:+	17.0	177.0	15.0	129.0	0.7077407503728084	1.0
ENSG00000142657.20;A3:chr1:10399704-10400375:10399704-10400392:+	132.0	840.0	31.0	165.0	0.42895090907618844	1.0
ENSG00000277726.4;A3:chr1:11023329-11024063:11023329-11024301:+	28.0	9.0	20.0	7.0	1.0	1.0
ENSG00000177674.15;A3:chr1:11745837-11745987:11745837-11747439:+	5.0	89.0	2.0	42.0	1.0	1.0
ENSG00000116138.12;A3:chr1:15567269-15567777:15567269-15569652:+	98.0	14.0	61.0	10.0	0.8235222007860074	1.0
ENSG00000162458.12;A3:chr1:15758848-15764492:15758848-15764495:+	56.0	20.0	39.0	13.0	1.0	1.0
ENSG00000055070.16;A3:chr1:16391424-16393227:16391424-16393230:+	53.0	19.0	36.0	15.0	0.8381411613439167	1.0
ENSG00000142676.14;A3:chr1:23691829-23692608:23691829-23692611:+	293.0	614.0	192.0	510.0	0.03275739849820084	1.0
ENSG00000142676.14;A3:chr1:23693913-23694659:23693913-23695797:+	94.0	20.0	42.0	20.0	0.0375307649272191	1.0
ENSG00000011009.10;A3:chr1:23791250-23792551:23791250-23792656:+	6.0	62.0	11.0	57.0	0.29971496812504916	1.0
ENSG00000133226.16;A3:chr1:24646789-24647078:24646789-24648858:+	20.0	401.0	28.0	239.0	0.005362206463333996	0.9999999993657412
ENSG00000133226.16;A3:chr1:24650086-24651408:24650086-24651498:+	402.0	66.0	286.0	28.0	0.03282563594578375	1.0
ENSG00000133226.16;A3:chr1:24652628-24652912:24652628-24652927:+	373.0	74.0	260.0	48.0	0.7633008980299265	1.0
ENSG00000133226.16;A3:chr1:24652628-24652912:24652628-24652914:+	373.0	34.0	260.0	23.0	1.0	1.0
ENSG00000133226.16;A3:chr1:24660799-24661309:24660799-24661312:+	312.0	161.0	224.0	95.0	0.2161195085758233	1.0
ENSG00000133226.16;A3:chr1:24652628-24652914:24652628-24652927:+	34.0	74.0	23.0	48.0	1.0	1.0
ENSG00000157978.11;A3:chr1:25563791-25565172:25563791-25565175:+	31.0	3.0	38.0	7.0	0.5018347045973864	1.0
ENSG00000117640.17;A3:chr1:25826826-25829508:25826826-25829617:+	110.0	29.0	90.0	18.0	0.4198179750133938	1.0
ENSG00000117640.17;A3:chr1:25820029-25822995:25820029-25823018:+	9.0	110.0	4.0	95.0	0.3910660978451005	1.0
ENSG00000130695.15;A3:chr1:26276760-26277132:26276760-26277135:+	34.0	40.0	27.0	33.0	1.0	1.0
ENSG00000142669.14;A3:chr1:26280203-26280082:26280203-26280110:+	58.0	10.0	164.0	38.0	0.5823630065848205	1.0
ENSG00000117682.16;A3:chr1:26460144-26468891:26460144-26468894:+	29.0	106.0	36.0	254.0	0.020203375296114347	1.0
ENSG00000198830.10;A3:chr1:26472627-26473482:26472627-26473702:+	165.0	186.0	199.0	189.0	0.26918089849109395	1.0
ENSG00000198830.10;A3:chr1:26472627-26473482:26472627-26474084:+	69.0	73.0	88.0	92.0	1.0	1.0
ENSG00000198830.10;A3:chr1:26472627-26473702:26472627-26474084:+	86.0	73.0	97.0	92.0	0.6666105201741817	1.0
ENSG00000198830.10;A3:chr1:26474135-26474571:26474135-26475112:+	86.0	92.0	97.0	95.0	0.6787098892829961	1.0
ENSG00000198830.10;A3:chr1:26473527-26473702:26473527-26474084:+	97.0	103.0	82.0	88.0	1.0	1.0
ENSG00000117713.19;A3:chr1:26772632-26772811:26772632-26772814:+	35.0	70.0	37.0	50.0	0.23116501062082895	1.0
ENSG00000117713.19;A3:chr1:26773898-26774328:26773898-26774979:+	46.0	36.0	40.0	26.0	0.6178607998245065	1.0
ENSG00000186501.14;A3:chr1:27322391-27322255:27322391-27322292:+	11.0	90.0	10.0	82.0	1.0	1.0
ENSG00000130770.17;A3:chr1:28236452-28237760:28236452-28237836:+	27.0	91.0	2.0	80.0	2.28868149183891e-05	0.08773334997038784
ENSG00000160050.14;A3:chr1:32204045-32204185:32204045-32204597:+	9.0	37.0	10.0	25.0	0.4298073590128795	1.0
ENSG00000084623.11;A3:chr1:32224475-32226148:32224475-32226170:+	18.0	903.0	24.0	721.0	0.11632249763521377	1.0
ENSG00000162521.18;A3:chr1:32651322-32651913:32651322-32651916:+	350.0	146.0	521.0	161.0	0.026559080881250814	1.0
ENSG00000162521.18;A3:chr1:32672901-32679639:32672901-32680525:+	298.0	16.0	434.0	9.0	0.023441752558304923	1.0
ENSG00000162521.18;A3:chr1:32673580-32679634:32673580-32679639:+	31.0	47.0	57.0	50.0	0.07537272529421143	1.0
ENSG00000162521.18;A3:chr1:32652061-32668224:32652061-32668319:+	29.0	34.0	54.0	51.0	0.5269311084891308	1.0
ENSG00000162521.18;A3:chr1:32672901-32679634:32672901-32679639:+	78.0	325.0	101.0	444.0	0.8012533080275457	1.0
ENSG00000162521.18;A3:chr1:32672901-32679634:32672901-32680525:+	78.0	16.0	101.0	9.0	0.08505533636253373	1.0
ENSG00000116497.17;A3:chr1:32826930-32827992:32826930-32827995:+	48.0	12.0	74.0	24.0	0.5625333495366236	1.0
