event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000171735.18;AL:chr1:6825210-6871756:6872020:6825210-6887653:6888201:+	42.0	10.0	39.0	5.0	0.3997681691627246	1.0
ENSG00000173614.13;AL:chr1:9981170-9981255:9981858:9981170-9982300:9983374:+	6.0	35.0	3.0	25.0	0.7292507098015366	1.0
ENSG00000173614.13;AL:chr1:9981170-9982300:9983374:9981170-9985135:9985496:+	35.0	3.0	25.0	2.0	1.0	1.0
ENSG00000070831.15;AL:chr1:22086866-22089942:22090807:22086866-22091427:22092950:+	9.0	400.0	7.0	424.0	0.6184062997698487	1.0
ENSG00000157978.11;AL:chr1:25565207-25566847:25568886:25565207-25590168:25590405:+	33.0	1.0	38.0	7.0	0.12841358307668382	0.9999999999999998
ENSG00000117682.16;AL:chr1:26460144-26467292:26467527:26460144-26468894:26471306:+	4.0	54.0	5.0	135.0	0.45292051542862954	1.0
ENSG00000117682.16;AL:chr1:26460144-26467292:26467527:26460144-26468894:26471324:+	4.0	36.0	5.0	70.0	0.7170932194286044	1.0
ENSG00000117682.16;AL:chr1:26460144-26467292:26467527:26460144-26468894:26471350:+	4.0	16.0	5.0	49.0	0.2408772907352926	1.0
ENSG00000009780.15;AL:chr1:27759627-27759957:27760185:27759627-27760494:27761805:+	4.0	44.0	5.0	81.0	0.7212397308360523	1.0
ENSG00000009780.15;AL:chr1:27759627-27759957:27760185:27759627-27760494:27761616:+	4.0	44.0	5.0	107.0	0.45388745804236635	1.0
ENSG00000084072.16;AL:chr1:39753052-39753286:39753707:39753052-39763688:39763908:+	286.0	23.0	188.0	5.0	0.026423463414575663	0.999777048186932
ENSG00000127125.8;AL:chr1:42457350-42459602:42460412:42457350-42473121:42473462:+	126.0	7.0	170.0	7.0	0.5929866256397461	1.0
ENSG00000171960.10;AL:chr1:42667440-42675287:42676043:42667440-42676583:42676758:+	13.0	176.0	11.0	72.0	0.10489483539300226	0.9999999999999187
ENSG00000132780.16;AL:chr1:45616703-45617462:45617517:45616703-45618060:45618251:+	13.0	41.0	13.0	11.0	0.0178408731082129	0.9969070277736128
ENSG00000162607.12;AL:chr1:62447511-62448464:62448879:62447511-62450245:62451733:+	35.0	24.0	36.0	16.0	0.32469108796040347	1.0
ENSG00000125703.14;AL:chr1:62841547-62863991:62865156:62841547-62901293:62903183:+	48.0	3.0	42.0	4.0	0.704701004458466	1.0
ENSG00000162695.11;AL:chr1:100965918-100972276:100973066:100965918-100974809:100975488:+	23.0	26.0	316.0	28.0	5.932475422835616e-13	2.0583768023385574e-10
ENSG00000168765.16;AL:chr1:109659110-109661164:109661705:109659110-109665010:109665497:+	81.0	20.0	57.0	3.0	0.009877401720104088	0.9602885108588975
ENSG00000143569.18;AL:chr1:154268954-154270199:154270853:154268954-154270880:154271510:+	45.0	32.0	16.0	16.0	0.525658552184493	1.0
ENSG00000158793.13;AL:chr1:161120232-161120498:161121069:161120232-161124140:161125436:+	28.0	4.0	25.0	2.0	0.6780112440391135	1.0
ENSG00000158793.13;AL:chr1:161120232-161120498:161121194:161120232-161124140:161125436:+	58.0	4.0	28.0	2.0	1.0	1.0
ENSG00000198860.12;AL:chr1:184054863-184072826:184074202:184054863-184095689:184095846:+	34.0	71.0	15.0	49.0	0.22716448346775048	1.0
ENSG00000198860.12;AL:chr1:184054863-184070615:184074202:184054863-184095689:184095846:+	5.0	71.0	5.0	49.0	0.740472480644079	1.0
ENSG00000143771.11;AL:chr1:224371423-224375794:224375987:224371423-224379068:224379452:+	8.0	19.0	11.0	11.0	0.23821481710207856	1.0
ENSG00000135778.11;AL:chr1:232970118-232976341:232977539:232970118-232978162:232978782:+	8.0	288.0	6.0	118.0	0.3699271765408614	1.0
ENSG00000203666.12;AL:chr1:245083688-245087244:245087842:245083688-245121919:245122989:+	26.0	3.0	19.0	11.0	0.030341421261911278	0.9999310617091786
ENSG00000162585.16;AL:chr1:2184467:2185513-2193638:2189547:2189781-2193638:-	7.0	24.0	6.0	63.0	0.10347501102158332	0.999999999999894
ENSG00000188529.14;AL:chr1:23964803:23967956-23971572:23969079:23971439-23971572:-	17.0	74.0	4.0	76.0	0.009035633181789461	0.9481294912161822
ENSG00000188529.14;AL:chr1:23964803:23967956-23971572:23971371:23971439-23971572:-	17.0	51.0	4.0	62.0	0.0036232604986815775	0.7046595074765443
ENSG00000188529.14;AL:chr1:23966444:23967723-23971572:23969079:23971439-23971572:-	57.0	74.0	30.0	76.0	0.02099589519084646	0.9988265217359698
ENSG00000188529.14;AL:chr1:23966444:23967723-23971572:23970363:23971439-23971572:-	57.0	22.0	30.0	38.0	0.000739473978452901	0.2218020951225197
ENSG00000188529.14;AL:chr1:23966444:23967723-23971572:23971371:23971439-23971572:-	57.0	51.0	30.0	62.0	0.004434014594273495	0.7723190653216983
ENSG00000188529.14;AL:chr1:23966444:23967956-23971572:23969079:23971439-23971572:-	36.0	74.0	10.0	76.0	0.0006037593673447893	0.18612144616099324
ENSG00000188529.14;AL:chr1:23966444:23967956-23971572:23970363:23971439-23971572:-	36.0	22.0	10.0	38.0	2.7939925909070116e-05	0.009593098917930809
ENSG00000188529.14;AL:chr1:23966444:23967956-23971572:23971371:23971439-23971572:-	36.0	51.0	10.0	62.0	0.00018588516176071284	0.061774109094731244
ENSG00000188529.14;AL:chr1:23966449:23967723-23971572:23969079:23971439-23971572:-	5.0	74.0	0.0	76.0	0.058712634613962686	0.9999999787728855
ENSG00000188529.14;AL:chr1:23966449:23967723-23971572:23971371:23971439-23971572:-	5.0	51.0	0.0	62.0	0.021832081283176364	0.9990857761160862
ENSG00000092853.13;AL:chr1:35720455:35720980-35736913:35735286:35736606-35736913:-	113.0	18.0	67.0	11.0	1.0	1.0
ENSG00000177868.11;AL:chr1:42807051:42807500-42816430:42812095:42813904-42816430:-	138.0	4.0	102.0	6.0	0.3362907126943792	1.0
ENSG00000081870.11;AL:chr1:53916548:53917116-53923903:53921560:53921767-53923903:-	32.0	30.0	13.0	11.0	1.0	1.0
ENSG00000162613.16;AL:chr1:77946485:77946576-77949154:77948388:77948774-77949154:-	2.0	37.0	1.0	22.0	1.0	1.0
ENSG00000162613.16;AL:chr1:77946485:77946576-77949154:77948404:77948774-77949154:-	2.0	171.0	1.0	72.0	1.0	1.0
ENSG00000122417.15;AL:chr1:86348110:86348878-86352858:86350104:86352208-86352858:-	25.0	9.0	36.0	21.0	0.361970220753027	1.0
