event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000157916.19;A3:chr1:2400935-2402096:2400935-2402206:+	12.0	58.0	16.0	100.0	0.5337010170999467	1.0
ENSG00000157870.15;A3:chr1:2588625-2588921:2588625-2588956:+	13.0	10.0	19.0	14.0	1.0	1.0
ENSG00000041988.15;A3:chr1:6628691-6630287:6628691-6630290:+	36.0	2.0	35.0	8.0	0.09419194950667201	1.0
ENSG00000049245.12;A3:chr1:7771385-7771319:7771385-7771331:+	7.0	39.0	7.0	61.0	0.562451813561649	1.0
ENSG00000116288.12;A3:chr1:7977738-7984863:7977738-7984893:+	14.0	95.0	15.0	129.0	0.5567345310942553	1.0
ENSG00000142657.20;A3:chr1:10399704-10400375:10399704-10400392:+	87.0	486.0	31.0	165.0	0.8192087610059213	1.0
ENSG00000277726.4;A3:chr1:11023329-11024063:11023329-11024301:+	24.0	11.0	20.0	7.0	0.7795878267743632	1.0
ENSG00000177674.15;A3:chr1:11745837-11745987:11745837-11747439:+	6.0	52.0	2.0	42.0	0.46063255324925656	1.0
ENSG00000116138.12;A3:chr1:15567269-15567777:15567269-15569652:+	120.0	15.0	61.0	10.0	0.6539469399014323	1.0
ENSG00000162458.12;A3:chr1:15758848-15764492:15758848-15764495:+	29.0	11.0	39.0	13.0	0.8145016307084738	1.0
ENSG00000055070.16;A3:chr1:16391424-16393227:16391424-16393230:+	38.0	4.0	36.0	15.0	0.021074772566514785	1.0
ENSG00000142676.14;A3:chr1:23691829-23692608:23691829-23692611:+	106.0	321.0	192.0	510.0	0.36597505738523106	1.0
ENSG00000142676.14;A3:chr1:23693913-23694659:23693913-23695797:+	27.0	14.0	42.0	20.0	1.0	1.0
ENSG00000011009.10;A3:chr1:23791250-23792551:23791250-23792656:+	1.0	35.0	11.0	57.0	0.05348551610858762	1.0
ENSG00000133226.16;A3:chr1:24646789-24647078:24646789-24648858:+	20.0	191.0	28.0	239.0	0.7609202015858724	1.0
ENSG00000133226.16;A3:chr1:24650086-24651408:24650086-24651498:+	211.0	23.0	286.0	28.0	0.7670120551686014	1.0
ENSG00000133226.16;A3:chr1:24652628-24652912:24652628-24652927:+	196.0	34.0	260.0	48.0	0.8098805846759047	1.0
ENSG00000133226.16;A3:chr1:24652628-24652912:24652628-24652914:+	196.0	16.0	260.0	23.0	0.867300009090505	1.0
ENSG00000133226.16;A3:chr1:24660799-24661309:24660799-24661312:+	166.0	70.0	224.0	95.0	1.0	1.0
ENSG00000133226.16;A3:chr1:24652628-24652914:24652628-24652927:+	16.0	34.0	23.0	48.0	1.0	1.0
ENSG00000157978.11;A3:chr1:25563791-25565172:25563791-25565175:+	22.0	3.0	38.0	7.0	1.0	1.0
ENSG00000117640.17;A3:chr1:25826826-25829508:25826826-25829617:+	86.0	24.0	90.0	18.0	0.3917589888197677	1.0
ENSG00000117640.17;A3:chr1:25820029-25822995:25820029-25823018:+	6.0	90.0	4.0	95.0	0.5328271257045094	1.0
ENSG00000130695.15;A3:chr1:26276760-26277132:26276760-26277135:+	24.0	16.0	27.0	33.0	0.15806932528044837	1.0
ENSG00000142669.14;A3:chr1:26280203-26280082:26280203-26280110:+	36.0	8.0	164.0	38.0	1.0	1.0
ENSG00000117682.16;A3:chr1:26460144-26468891:26460144-26468894:+	13.0	99.0	36.0	254.0	1.0	1.0
ENSG00000198830.10;A3:chr1:26472627-26473482:26472627-26473702:+	77.0	77.0	199.0	189.0	0.8489646272437871	1.0
ENSG00000198830.10;A3:chr1:26472627-26473482:26472627-26474084:+	47.0	34.0	88.0	92.0	0.18296288504934924	1.0
ENSG00000198830.10;A3:chr1:26472627-26473702:26472627-26474084:+	32.0	34.0	97.0	92.0	0.7751541007179269	1.0
ENSG00000198830.10;A3:chr1:26474135-26474571:26474135-26475112:+	32.0	49.0	97.0	95.0	0.11166700691102352	1.0
ENSG00000198830.10;A3:chr1:26473527-26473702:26473527-26474084:+	45.0	34.0	82.0	88.0	0.22167419383039655	1.0
ENSG00000117713.19;A3:chr1:26772632-26772811:26772632-26772814:+	14.0	19.0	37.0	50.0	1.0	1.0
