event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000116288.12;AF:chr1:7961672:7961735-7962762:7961917:7962081-7962762:+	26.0	12.0	49.0	33.0	0.4208369106545807	1.0
ENSG00000116288.12;AF:chr1:7961685:7961793-7962762:7961917:7962081-7962762:+	10.0	12.0	26.0	33.0	1.0	1.0
ENSG00000175279.21;AF:chr1:10430432:10430568-10433841:10430720:10431401-10433841:+	19.0	14.0	20.0	24.0	0.3594246254084475	1.0
ENSG00000277726.4;AF:chr1:11012330:11012428-11013715:11012650:11012743-11013715:+	5.0	62.0	15.0	91.0	0.22634676725526376	1.0
ENSG00000142676.14;AF:chr1:23691800:23691829-23692608:23691885:23692060-23692608:+	21.0	74.0	77.0	146.0	0.033541712845443855	1.0
ENSG00000142676.14;AF:chr1:23691805:23691829-23692608:23691885:23692060-23692608:+	35.0	74.0	80.0	146.0	0.6235732237761509	1.0
ENSG00000142676.14;AF:chr1:23691805:23691829-23693806:23692580:23692759-23693806:+	15.0	5.0	38.0	11.0	1.0	1.0
ENSG00000133226.16;AF:chr1:24643264:24643347-24645983:24643554:24643732-24645983:+	20.0	5.0	35.0	5.0	0.4892254376855838	1.0
ENSG00000133226.16;AF:chr1:24643264:24643347-24645983:24643563:24643732-24645983:+	20.0	0.0	35.0	0.0	1.0	1.0
ENSG00000133226.16;AF:chr1:24643272:24643347-24645983:24643554:24643732-24645983:+	50.0	5.0	119.0	5.0	0.2875752653107302	1.0
ENSG00000133226.16;AF:chr1:24643272:24643347-24645983:24643563:24643732-24645983:+	50.0	0.0	119.0	0.0	1.0	1.0
ENSG00000133226.16;AF:chr1:24643292:24643347-24645983:24643554:24643732-24645983:+	90.0	5.0	173.0	5.0	0.32452163704637377	1.0
ENSG00000133226.16;AF:chr1:24643292:24643347-24645983:24643563:24643732-24645983:+	90.0	0.0	173.0	0.0	1.0	1.0
ENSG00000117640.17;AF:chr1:25819943:25820029-25823018:25820225:25820659-25823018:+	16.0	7.0	12.0	10.0	0.3651179757865384	1.0
ENSG00000117640.17;AF:chr1:25819943:25820029-25823018:25820864:25821003-25823018:+	16.0	7.0	12.0	10.0	0.3651179757865384	1.0
ENSG00000117640.17;AF:chr1:25819954:25820029-25823018:25820225:25820659-25823018:+	57.0	7.0	79.0	10.0	1.0	1.0
ENSG00000117640.17;AF:chr1:25819954:25820029-25823018:25820864:25821003-25823018:+	57.0	7.0	79.0	10.0	1.0	1.0
ENSG00000117682.16;AF:chr1:26432322:26432376-26432890:26432384:26432518-26432890:+	2.0	18.0	4.0	16.0	0.6614196614196634	1.0
ENSG00000117682.16;AF:chr1:26432324:26432376-26432890:26432384:26432518-26432890:+	43.0	18.0	63.0	16.0	0.23603030740369307	1.0
ENSG00000198830.10;AF:chr1:26472505:26472627-26473702:26473198:26473527-26473702:+	32.0	38.0	86.0	78.0	0.39249372493824	1.0
ENSG00000060642.10;AF:chr1:26787078:26787806-26790758:26787949:26788268-26790758:+	4.0	16.0	4.0	18.0	1.0	1.0
ENSG00000180098.9;AF:chr1:28552989:28553137-28553639:28553223:28553307-28553639:+	44.0	18.0	52.0	22.0	1.0	1.0
ENSG00000180098.9;AF:chr1:28553084:28553137-28553639:28553223:28553307-28553639:+	7.0	18.0	12.0	22.0	0.586820768908105	1.0
ENSG00000198492.15;AF:chr1:28736952:28737147-28738258:28737749:28737797-28738258:+	14.0	18.0	32.0	19.0	0.11418568529573159	1.0
ENSG00000198492.15;AF:chr1:28736955:28737682-28738258:28737749:28737797-28738258:+	3.0	18.0	5.0	19.0	0.7049609494306079	1.0
ENSG00000198492.15;AF:chr1:28737049:28737147-28738258:28737749:28737797-28738258:+	2.0	18.0	4.0	19.0	0.6688337187486391	1.0
ENSG00000084623.11;AF:chr1:32221712:32222032-32222537:32222406:32222444-32222537:+	29.0	39.0	60.0	87.0	0.8817973904290686	1.0
ENSG00000116497.17;AF:chr1:32817576:32817689-32825312:32817747:32817846-32825312:+	33.0	7.0	36.0	10.0	0.7871386824214504	1.0
ENSG00000084072.16;AF:chr1:39738878:39738923-39740164:39739010:39739293-39740164:+	35.0	10.0	46.0	15.0	0.8207381754993803	1.0
ENSG00000084072.16;AF:chr1:39738881:39738931-39740164:39739010:39739293-39740164:+	168.0	10.0	274.0	15.0	0.8353441052846741	1.0
ENSG00000066136.20;AF:chr1:40691703:40691867-40738835:40709322:40709616-40738835:+	68.0	5.0	128.0	16.0	0.4663445482848677	1.0
ENSG00000127125.8;AF:chr1:42456148:42456499-42457246:42456531:42456628-42457246:+	8.0	36.0	6.0	36.0	0.7722020287721725	1.0
ENSG00000127125.8;AF:chr1:42456148:42456499-42457246:42456531:42457073-42457246:+	8.0	49.0	6.0	84.0	0.15757387915293902	1.0
ENSG00000127125.8;AF:chr1:42456148:42456499-42457246:42456558:42457073-42457246:+	8.0	14.0	6.0	22.0	0.3434716505974388	1.0
ENSG00000127125.8;AF:chr1:42456303:42456499-42457246:42456531:42456628-42457246:+	3.0	36.0	0.0	36.0	0.24108108108107998	1.0
ENSG00000127125.8;AF:chr1:42456303:42456499-42457246:42456531:42457073-42457246:+	3.0	49.0	0.0	84.0	0.05389718076285275	1.0
ENSG00000066135.12;AF:chr1:43650157:43650252-43653136:43650505:43650674-43653136:+	37.0	3.0	57.0	11.0	0.24540339623517063	1.0
ENSG00000142937.11;AF:chr1:44775573:44775600-44776674:44775999:44776140-44776674:+	25.0	3.0	53.0	6.0	1.0	1.0
ENSG00000162607.12;AF:chr1:62436352:62436562-62439798:62437030:62437400-62439798:+	2.0	27.0	2.0	69.0	0.5773017360646227	1.0
ENSG00000162433.14;AF:chr1:65147602:65147665-65190709:65148152:65148552-65190709:+	38.0	63.0	9.0	12.0	0.8058547023093705	1.0
ENSG00000213625.8;AF:chr1:65420662:65420740-65425302:65421242:65421459-65425302:+	15.0	13.0	13.0	17.0	0.5994567844417131	1.0
ENSG00000162616.8;AF:chr1:77979290:77979619-78013050:78004939:78005321-78013050:+	16.0	57.0	25.0	110.0	0.5864604957224264	1.0
ENSG00000142875.19;AF:chr1:84078078:84078371-84179176:84144233:84144548-84179176:+	22.0	2.0	40.0	16.0	0.07721518992187862	1.0
ENSG00000097046.12;AF:chr1:91500837:91500948-91501653:91501107:91501303-91501653:+	37.0	4.0	75.0	9.0	1.0	1.0
ENSG00000097046.12;AF:chr1:91500837:91500948-91501653:91501148:91501303-91501653:+	37.0	5.0	75.0	11.0	1.0	1.0
ENSG00000122406.13;AF:chr1:92832030:92832117-92836189:92833392:92833458-92836189:+	15.0	23.0	22.0	48.0	0.40574402873788207	1.0
ENSG00000122406.13;AF:chr1:92832031:92832117-92834778:92833386:92833458-92834778:+	2.0	19.0	7.0	60.0	1.0	1.0
ENSG00000134186.11;AF:chr1:108692300:108692867-108695701:108693588:108693642-108695701:+	43.0	2.0	85.0	4.0	1.0	1.0
ENSG00000121957.13;AF:chr1:108876984:108877228-108885274:108877514:108877774-108885274:+	25.0	1.0	19.0	5.0	0.09250253292806507	1.0
ENSG00000116337.15;AF:chr1:109619830:109620278-109625302:109621092:109621266-109625302:+	45.0	7.0	30.0	12.0	0.07794506181281798	1.0
ENSG00000116489.12;AF:chr1:112647207:112647273-112654464:112653555:112653661-112654464:+	239.0	265.0	367.0	367.0	0.38571721406352705	1.0
ENSG00000116489.12;AF:chr1:112647207:112647273-112654464:112653597:112653661-112654464:+	239.0	226.0	367.0	354.0	0.9053037664201115	1.0
ENSG00000163399.15;AF:chr1:116373243:116373523-116384013:116374054:116374241-116384013:+	7.0	14.0	10.0	19.0	1.0	1.0
ENSG00000143569.18;AF:chr1:154220219:154220244-154225083:154220942:154220975-154225083:+	4.0	41.0	12.0	46.0	0.1689999356389475	1.0
ENSG00000143569.18;AF:chr1:154220942:154220975-154225083:154220982:154221396-154225083:+	41.0	23.0	46.0	24.0	0.8581226998362341	1.0
ENSG00000169241.18;AF:chr1:155135322:155135680-155136298:155135841:155135991-155136298:+	8.0	45.0	8.0	63.0	0.5936962848232334	1.0
ENSG00000160753.15;AF:chr1:155322726:155323130-155324844:155324506:155324587-155324844:+	2.0	18.0	7.0	37.0	0.7078014347700737	1.0
ENSG00000160753.15;AF:chr1:155324506:155324809-155325101:155324842:155324943-155325101:+	14.0	6.0	31.0	11.0	0.7682023982288364	1.0
ENSG00000160783.19;AF:chr1:156212992:156213176-156232319:156225302:156225668-156232319:+	18.0	2.0	30.0	9.0	0.3023897330620452	1.0
ENSG00000160783.19;AF:chr1:156213006:156213176-156232319:156225302:156225668-156232319:+	58.0	2.0	110.0	9.0	0.33953471788064715	1.0
ENSG00000158864.12;AF:chr1:161202371:161202480-161206406:161203410:161203543-161206406:+	9.0	15.0	14.0	20.0	1.0	1.0
ENSG00000135829.16;AF:chr1:182839346:182839456-182842544:182839653:182839935-182842544:+	71.0	11.0	130.0	19.0	1.0	1.0
ENSG00000134371.12;AF:chr1:193122128:193122331-193125111:193122463:193122561-193125111:+	68.0	8.0	148.0	10.0	0.2975799141787811	1.0
ENSG00000198892.6;AF:chr1:201888678:201888781-201889444:201888878:201889067-201889444:+	5.0	28.0	5.0	26.0	1.0	1.0
ENSG00000162819.11;AF:chr1:222712542:222712942-222715683:222713362:222713416-222715683:+	53.0	81.0	83.0	84.0	0.08202070627719102	1.0
ENSG00000162819.11;AF:chr1:222712547:222712942-222718924:222713362:222713416-222718924:+	3.0	52.0	2.0	71.0	0.6508964857215396	1.0
ENSG00000162819.11;AF:chr1:222712552:222712942-222715683:222713362:222713416-222715683:+	63.0	81.0	84.0	84.0	0.30623613870097277	1.0
ENSG00000162819.11;AF:chr1:222712566:222712942-222715683:222713362:222713416-222715683:+	84.0	81.0	127.0	84.0	0.07597122409183504	1.0
ENSG00000162909.17;AF:chr1:223701563:223701831-223717761:223712565:223712877-223717761:+	14.0	72.0	33.0	132.0	0.5012085601508719	1.0
ENSG00000143740.14;AF:chr1:227728660:227728786-227747691:227735437:227735499-227747691:+	10.0	69.0	5.0	86.0	0.11246307641666738	1.0
ENSG00000143761.15;AF:chr1:228082697:228082765-228097077:228083091:228083512-228097077:+	19.0	13.0	34.0	22.0	1.0	1.0
ENSG00000143761.15;AF:chr1:228082697:228082765-228097077:228083121:228083309-228097077:+	19.0	11.0	34.0	17.0	0.8115296186713012	1.0
ENSG00000143761.15;AF:chr1:228082762:228082850-228097077:228083091:228083512-228097077:+	25.0	13.0	33.0	22.0	0.6650415085787516	1.0
ENSG00000143761.15;AF:chr1:228082762:228082850-228097077:228083121:228083309-228097077:+	25.0	11.0	33.0	17.0	0.8176968175843902	1.0
ENSG00000143774.16;AF:chr1:228140002:228140159-228145510:228140273:228140363-228145510:+	6.0	54.0	10.0	32.0	0.09492356282266359	1.0
ENSG00000143774.16;AF:chr1:228140002:228140159-228145510:228140281:228140363-228145510:+	6.0	35.0	10.0	29.0	0.26964444908778296	1.0
ENSG00000143774.16;AF:chr1:228140002:228140159-228145510:228140300:228140363-228145510:+	6.0	23.0	10.0	25.0	0.5676351752159545	1.0
ENSG00000135778.11;AF:chr1:232950610:232950744-232955556:232950785:232951132-232955556:+	194.0	1.0	288.0	9.0	0.09728922697335121	1.0
ENSG00000285053.1;AF:chr1:235328572:235328778-235335241:235330465:235330500-235335241:+	75.0	11.0	110.0	14.0	0.8293212841764392	1.0
ENSG00000174371.16;AF:chr1:241848018:241848200-241848730:241848203:241848353-241848730:+	1.0	25.0	6.0	60.0	0.6684568611957391	1.0
ENSG00000157881.13;AF:chr1:2521800-2525600:2526181:2521800-2526463:2526607:-	3.0	18.0	5.0	20.0	0.7098477245953131	1.0
ENSG00000116251.10;AF:chr1:6197756-6199561:6199593:6197756-6200488:6200901:-	67.0	18.0	125.0	55.0	0.1404965351600289	1.0
ENSG00000116251.10;AF:chr1:6197756-6199369:6199559:6197756-6199561:6199593:-	30.0	67.0	58.0	125.0	1.0	1.0
ENSG00000116251.10;AF:chr1:6197756-6199369:6199559:6197756-6200488:6200901:-	30.0	18.0	58.0	55.0	0.2272758751389434	1.0
ENSG00000097021.19;AF:chr1:6349866-6352224:6352288:6349866-6393256:6393412:-	10.0	10.0	11.0	29.0	0.09615794221239315	1.0
ENSG00000097021.19;AF:chr1:6349866-6358825:6358982:6349866-6393256:6393412:-	12.0	10.0	20.0	29.0	0.3126284417826953	1.0
ENSG00000074800.15;AF:chr1:8871986-8873772:8874615:8871986-8874823:8874921:-	55.0	17.0	80.0	28.0	0.8607135737707858	1.0
ENSG00000074800.15;AF:chr1:8866501-8867116:8867223:8866501-8878579:8878692:-	13.0	19.0	25.0	33.0	1.0	1.0
ENSG00000074800.15;AF:chr1:8876302-8878214:8878318:8876302-8878579:8878669:-	53.0	25.0	75.0	37.0	1.0	1.0
