event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000171735.18;AL:chr1:6825210-6871756:6872020:6825210-6887653:6888201:+	23.0	6.0	39.0	5.0	0.32666592055868793	1.0
ENSG00000173614.13;AL:chr1:9981170-9981255:9981858:9981170-9982300:9983374:+	4.0	16.0	3.0	25.0	0.4293734952954459	1.0
ENSG00000173614.13;AL:chr1:9981170-9982300:9983374:9981170-9985135:9985496:+	16.0	4.0	25.0	2.0	0.37890992685218483	1.0
ENSG00000070831.15;AL:chr1:22086866-22089942:22090807:22086866-22091427:22092950:+	7.0	269.0	7.0	424.0	0.41711112241727205	1.0
ENSG00000157978.11;AL:chr1:25565207-25566847:25568886:25565207-25590168:25590405:+	23.0	2.0	38.0	7.0	0.47428826165479476	1.0
ENSG00000117682.16;AL:chr1:26460144-26467292:26467527:26460144-26468894:26471306:+	2.0	57.0	5.0	135.0	1.0	1.0
ENSG00000117682.16;AL:chr1:26460144-26467292:26467527:26460144-26468894:26471324:+	2.0	24.0	5.0	70.0	1.0	1.0
ENSG00000117682.16;AL:chr1:26460144-26467292:26467527:26460144-26468894:26471350:+	2.0	18.0	5.0	49.0	1.0	1.0
ENSG00000009780.15;AL:chr1:27759627-27759957:27760185:27759627-27760494:27761805:+	3.0	33.0	5.0	81.0	0.6923867089827522	1.0
ENSG00000009780.15;AL:chr1:27759627-27759957:27760185:27759627-27760494:27761616:+	3.0	24.0	5.0	107.0	0.18533528910126187	1.0
ENSG00000084072.16;AL:chr1:39753052-39753286:39753707:39753052-39763688:39763908:+	167.0	13.0	188.0	5.0	0.051332121215325655	0.999999889664425
ENSG00000127125.8;AL:chr1:42457350-42459602:42460412:42457350-42473121:42473462:+	93.0	4.0	170.0	7.0	1.0	1.0
ENSG00000171960.10;AL:chr1:42667440-42675287:42676043:42667440-42676583:42676758:+	7.0	72.0	11.0	72.0	0.45692805353316956	1.0
ENSG00000132780.16;AL:chr1:45616703-45617462:45617517:45616703-45618060:45618251:+	6.0	19.0	13.0	11.0	0.042078136190662724	0.9999983694782433
ENSG00000162607.12;AL:chr1:62447511-62448464:62448879:62447511-62450245:62451733:+	14.0	11.0	36.0	16.0	0.31095756490635523	1.0
ENSG00000125703.14;AL:chr1:62841547-62863991:62865156:62841547-62901293:62903183:+	26.0	1.0	42.0	4.0	0.6452688735150663	1.0
ENSG00000162695.11;AL:chr1:100965918-100972276:100973066:100965918-100974809:100975488:+	5.0	15.0	316.0	28.0	1.0647988468049645e-11	3.6948691883864626e-09
ENSG00000168765.16;AL:chr1:109659110-109661164:109661705:109659110-109665010:109665497:+	42.0	15.0	57.0	3.0	0.0016973924327808284	0.43589071141887514
ENSG00000143569.18;AL:chr1:154268954-154270199:154270853:154268954-154270880:154271510:+	41.0	27.0	16.0	16.0	0.3892366395582596	1.0
ENSG00000158793.13;AL:chr1:161120232-161120498:161121069:161120232-161124140:161125436:+	23.0	5.0	25.0	2.0	0.42155181111895645	1.0
ENSG00000158793.13;AL:chr1:161120232-161120498:161121194:161120232-161124140:161125436:+	53.0	5.0	28.0	2.0	1.0	1.0
ENSG00000198860.12;AL:chr1:184054863-184072826:184074202:184054863-184095689:184095846:+	22.0	40.0	15.0	49.0	0.17181777411753063	1.0
ENSG00000198860.12;AL:chr1:184054863-184070615:184074202:184054863-184095689:184095846:+	4.0	40.0	5.0	49.0	1.0	1.0
ENSG00000143771.11;AL:chr1:224371423-224375794:224375987:224371423-224379068:224379452:+	15.0	13.0	11.0	11.0	1.0	1.0
ENSG00000135778.11;AL:chr1:232970118-232976341:232977539:232970118-232978162:232978782:+	2.0	194.0	6.0	118.0	0.0592482198137277	0.9999999875386657
ENSG00000203666.12;AL:chr1:245083688-245087244:245087842:245083688-245121919:245122989:+	9.0	12.0	19.0	11.0	0.16680267044178027	1.0
ENSG00000162585.16;AL:chr1:2184467:2185513-2193638:2189547:2189781-2193638:-	8.0	36.0	6.0	63.0	0.15318128066228692	1.0
ENSG00000188529.14;AL:chr1:23964803:23967956-23971572:23969079:23971439-23971572:-	8.0	48.0	4.0	76.0	0.07178970839636967	0.999999999668572
ENSG00000188529.14;AL:chr1:23964803:23967956-23971572:23971371:23971439-23971572:-	8.0	32.0	4.0	62.0	0.053527151182002186	0.9999999423535615
ENSG00000188529.14;AL:chr1:23966444:23967723-23971572:23969079:23971439-23971572:-	33.0	48.0	30.0	76.0	0.08677248437496049	0.9999999999946839
ENSG00000188529.14;AL:chr1:23966444:23967723-23971572:23970363:23971439-23971572:-	33.0	5.0	30.0	38.0	1.2619523824664914e-05	0.0043317344439179895
ENSG00000188529.14;AL:chr1:23966444:23967723-23971572:23971371:23971439-23971572:-	33.0	32.0	30.0	62.0	0.031313633941834375	0.9999632884179706
ENSG00000188529.14;AL:chr1:23966444:23967956-23971572:23969079:23971439-23971572:-	30.0	48.0	10.0	76.0	9.899135629101777e-05	0.033289994727819905
ENSG00000188529.14;AL:chr1:23966444:23967956-23971572:23970363:23971439-23971572:-	30.0	5.0	10.0	38.0	2.9553440877541816e-09	1.0225485306269988e-06
