event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	bh.adj.pval
ENSG00000116288.12;AF:chr1:7961672:7961735-7962762:7961917:7962081-7962762:+	49.0	33.0	28.0	30.0	0.22753436516314457	1.0
ENSG00000116288.12;AF:chr1:7961685:7961793-7962762:7961917:7962081-7962762:+	26.0	33.0	21.0	30.0	0.8474051834947119	1.0
ENSG00000175279.21;AF:chr1:10430432:10430568-10433841:10430720:10431401-10433841:+	20.0	24.0	16.0	5.0	0.031885260420686026	1.0
ENSG00000277726.4;AF:chr1:11012330:11012428-11013715:11012650:11012743-11013715:+	15.0	91.0	6.0	45.0	0.8049427506060438	1.0
ENSG00000142676.14;AF:chr1:23691800:23691829-23692608:23691885:23692060-23692608:+	77.0	146.0	38.0	143.0	0.0027983589335407308	0.9936957119913044
ENSG00000142676.14;AF:chr1:23691805:23691829-23692608:23691885:23692060-23692608:+	80.0	146.0	65.0	143.0	0.4152089421911573	1.0
ENSG00000142676.14;AF:chr1:23691805:23691829-23693806:23692580:23692759-23693806:+	38.0	11.0	21.0	3.0	0.36347099016373363	1.0
ENSG00000133226.16;AF:chr1:24643264:24643347-24645983:24643554:24643732-24645983:+	35.0	5.0	21.0	6.0	0.329205752960809	1.0
ENSG00000133226.16;AF:chr1:24643264:24643347-24645983:24643563:24643732-24645983:+	35.0	0.0	21.0	2.0	0.15305505142165846	1.0
ENSG00000133226.16;AF:chr1:24643272:24643347-24645983:24643554:24643732-24645983:+	119.0	5.0	70.0	6.0	0.3386413925891105	1.0
ENSG00000133226.16;AF:chr1:24643272:24643347-24645983:24643563:24643732-24645983:+	119.0	0.0	70.0	2.0	0.1408652521355853	1.0
ENSG00000133226.16;AF:chr1:24643292:24643347-24645983:24643554:24643732-24645983:+	173.0	5.0	122.0	6.0	0.5355344845876396	1.0
ENSG00000133226.16;AF:chr1:24643292:24643347-24645983:24643563:24643732-24645983:+	173.0	0.0	122.0	2.0	0.17349167349167208	1.0
ENSG00000117640.17;AF:chr1:25819943:25820029-25823018:25820225:25820659-25823018:+	12.0	10.0	22.0	4.0	0.029429164866825574	1.0
ENSG00000117640.17;AF:chr1:25819943:25820029-25823018:25820864:25821003-25823018:+	12.0	10.0	22.0	5.0	0.06253070977730357	1.0
ENSG00000117640.17;AF:chr1:25819954:25820029-25823018:25820225:25820659-25823018:+	79.0	10.0	59.0	4.0	0.39851866978565637	1.0
ENSG00000117640.17;AF:chr1:25819954:25820029-25823018:25820864:25821003-25823018:+	79.0	10.0	59.0	5.0	0.5873122796486597	1.0
ENSG00000117682.16;AF:chr1:26432322:26432376-26432890:26432384:26432518-26432890:+	4.0	16.0	5.0	49.0	0.2408772907352926	1.0
ENSG00000117682.16;AF:chr1:26432324:26432376-26432890:26432384:26432518-26432890:+	63.0	16.0	119.0	49.0	0.16397588847882094	1.0
ENSG00000198830.10;AF:chr1:26472505:26472627-26473702:26473198:26473527-26473702:+	86.0	78.0	97.0	81.0	0.7451908469478363	1.0
ENSG00000060642.10;AF:chr1:26787078:26787806-26790758:26787949:26788268-26790758:+	4.0	18.0	13.0	29.0	0.37541367654530355	1.0
ENSG00000180098.9;AF:chr1:28552989:28553137-28553639:28553223:28553307-28553639:+	52.0	22.0	51.0	27.0	0.6032287600405015	1.0
